,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
0,2d10c_y,CLTree,,,,,,30.30903625488281,-0.1894,219.8768,1.1494,0.2503,0.0346,0.2199,0.1871,0.1891,0.1065,0.8412,0.1891,0.3869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,25.0,,
1,2d10c_y,CenterParTree2,,,,100.0,20.0,0.7857692241668701,0.712,39804.1055,0.3589,0.9884,0.9493,2.0523,0.9709,0.9711,0.9942,0.949,0.9711,0.9568,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,4.0,12.0,0.0,,,,,,,,,,,cos,jaccard,,,,,,,,,
2,2d10c_y,ExKMC,8.0,8.0,IMM,1000.0,20.0,0.0110471248626708,0.8059,33295.5981,0.3762,0.9965,0.9853,2.0047,0.9832,0.9833,0.9711,0.9958,0.9833,0.9874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2d10c_y,ImpurityParTree2,,,,1000.0,20.0,5.670537948608398,0.6067,2817.6226,0.5988,0.9635,0.8445,1.8506,0.8889,0.8896,0.8965,0.8828,0.8896,0.8657,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,10.0,10.0,0.1,,,,,,,,entropy,mape,,,,,,,,,,,,
4,2d10c_y,PrincipalParTree,,,,inf,20.0,0.0515613555908203,0.7652,37058.3001,0.5856,0.9927,0.9688,2.0397,0.9707,0.9708,0.9881,0.9542,0.9708,0.9733,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,12.0,10.0,0.1,,,,,,,,,,,,,,1.0,False,1.0,,,,,
5,2d10c_y,ShallowTree,8.0,,,inf,20.0,0.03910493850708,0.8059,33295.5981,0.3762,0.9965,0.9853,2.0047,0.9832,0.9833,0.9711,0.9958,0.9833,0.9874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6,2d10c_y,VarianceParTree,,,,100.0,20.0,0.6747543811798096,0.6154,11522.6114,1.0962,0.9685,0.8585,1.9455,0.9041,0.9047,0.9425,0.8699,0.9047,0.8792,,,,,,,,,,,,,5.0,30.0,,,,,,,10.0,12.0,0.1,,,,,,,,,,,,,,,,,,,,,
7,2d10c_y,kmeans+dt,12.0,,,1000.0,20.0,0.0375034809112548,0.6055,4532.892,0.5331,0.9427,0.7784,1.7447,0.8882,0.8887,0.8452,0.9369,0.8887,0.8156,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2d10c_y,kmodes,12.0,,,inf,20.0,0.3764321804046631,-0.5307,1.3909,54.3996,0.148,-0.0008,0.013,0.0019,0.0122,0.0063,0.2043,0.0122,0.3671,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
9,2d10c_y,pyc_xmeans,,,,1000.0,20.0,0.0182232856750488,0.7891,46218.6226,0.408,0.9944,0.9761,2.0553,0.9791,0.9793,0.9956,0.9634,0.9793,0.9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,,,,,,,,,,,,,,
