,index,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
0,10,2.0,,,100.0,20.0,0.6005744934082031,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,2.0,,,inf,20.0,0.7221834659576416,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_bis_kmeans,wdbc_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,2.0,,,100.0,100.0,0.0329456329345703,0.317,245.0204,1.3902,0.8365,0.6718,0.3633,0.5485,0.5491,0.5502,0.548,0.5491,0.8459,skl_birch,wdbc_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
3,161,2.0,,,1000.0,100.0,0.006335973739624,0.3237,248.4838,1.3315,0.8905,0.7796,0.4425,0.6812,0.6816,0.6701,0.6934,0.6816,0.8993,skl_agglomerativeClust,wdbc_y,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,,average,,,,,,,,,,,,,,,,
4,51,,,,100.0,100.0,2.385538339614868,-0.2316,3.8312,1.4314,0.4749,-0.0225,0.2843,0.1029,0.1635,0.4306,0.1009,0.1635,0.3755,skl_OPTICS,wdbc_y,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,cosine,4.0,,,,,,,,,inf,,,,,,,,
5,30,,,,100.0,100.0,0.0153517723083496,-0.2397,12.9521,1.4136,0.5574,0.1347,0.3132,0.252,0.2715,0.4743,0.1902,0.2715,0.4954,skl_DBSCAN,wdbc_y,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,2.0,cosine,4.0,,,,,,,,,,,,,,,,,
6,115,,,,100.0,20.0,0.0366647243499755,0.3447,267.6804,1.3093,0.8394,0.6765,0.3638,0.5614,0.562,0.551,0.5735,0.562,0.8527,pyc_xmeans,wdbc_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
7,31,12.0,,,100.0,20.0,0.699650764465332,-0.201,1.7193,5.2952,0.4906,-0.0479,0.0271,0.023,0.0374,0.0411,0.0343,0.0374,0.5996,kmodes,wdbc_y,Cao,11.0,300.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
8,49,2.0,,,1000.0,20.0,0.5684680938720703,0.3283,246.1985,1.3561,0.8194,0.6361,0.3354,0.518,0.5186,0.508,0.5297,0.5186,0.8345,kmeans+dt,wdbc_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,182,,,,1000.0,100.0,5.919265270233154,0.3183,245.6139,1.3866,0.7973,0.5927,0.3076,0.4668,0.4676,0.4659,0.4693,0.4676,0.8102,VarianceParTree,wdbc_y,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
