,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
0,adultONEHOT_y,CenterParTree2,,,,1000.0,20.0,40.16458320617676,0.2109,1546.218,2.4584,0.6556,0.1531,0.0298,0.0709,0.071,0.0539,0.1038,0.071,0.7756,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.2,,,,,,,,,,,cos,jaccard,,,,,,,,,
1,adultONEHOT_y,ImpurityParTree2,,,,100.0,20.0,1.4963912963867188,0.3545,587.7926,2.14,0.6431,0.0482,0.0098,0.0304,0.0305,0.0177,0.1098,0.0305,0.794,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,4.0,2.0,0.0,,,,,,,,me,mape,,,,,,,,,,,,
2,adultONEHOT_y,VarianceParTree,,,,100.0,20.0,2.294921398162842,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,,,,,,,,,,,,,5.0,3.0,,,,,,,6.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,
3,adultONEHOT_y,kmeans+dt,2.0,,,inf,20.0,0.9429028034210204,0.5116,6357.8167,0.805,0.6362,0.0648,0.0086,0.0234,0.0234,0.0157,0.0466,0.0234,0.7776,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,adultONEHOT_y,kmodes,4.0,,,inf,20.0,4.014569282531738,0.0314,400.7749,7.627,0.5539,0.09,0.0158,0.022,0.0221,0.0285,0.018,0.0221,0.6211,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
5,adultONEHOT_y,pyc_xmeans,,,,1000.0,20.0,0.3667373657226562,0.7923,5678.4303,0.2768,0.6395,0.021,0.007,0.0239,0.024,0.0127,0.2265,0.024,0.7975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,18.0,,,,,,,,,,,,,,
6,adultONEHOT_y,skl_DBSCAN,,,,100.0,20.0,7.995646953582764,0.5873,8.1722,0.2924,0.6343,-0.0,0.0,-0.0,0.0,0.0,0.0242,0.0,0.7964,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,correlation,4.0,,,,,,,,,,,,,,,,,
7,adultONEHOT_y,skl_OPTICS,,,,1000.0,20.0,110.11076068878174,0.1858,5.3476,1.5804,0.3777,-0.0051,0.2494,0.0211,0.0623,0.4519,0.0335,0.0623,0.1814,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
8,adultONEHOT_y,skl_agglomerativeClust,2.0,,,inf,20.0,8.23745059967041,0.7923,5678.4303,0.2768,0.6395,0.021,0.007,0.0239,0.024,0.0127,0.2265,0.024,0.7975,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
9,adultONEHOT_y,skl_birch,2.0,,,100.0,20.0,1.6471333503723145,0.7923,5678.4303,0.2768,0.6395,0.021,0.007,0.0239,0.024,0.0127,0.2265,0.024,0.7975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
10,adultONEHOT_y,skl_bis_kmeans,2.0,,,100.0,20.0,0.7948915958404541,0.5117,6358.2446,0.8044,0.6362,0.0649,0.0087,0.0234,0.0235,0.0157,0.0467,0.0235,0.7776,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,adultONEHOT_y,skl_kmeans,2.0,,,inf,20.0,0.8721883296966553,0.5117,6358.2446,0.8044,0.6362,0.0649,0.0087,0.0234,0.0235,0.0157,0.0467,0.0235,0.7776,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,churnONEHOT_y,VarianceParTree,,,,100.0,20.0,1.1426854133605957,0.0778,281.8829,3.2686,0.506,-0.0108,0.0017,0.0029,0.0031,0.0041,0.0025,0.0031,0.6226,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
13,churnONEHOT_y,kmeans+dt,2.0,,,inf,20.0,0.7170314788818359,0.0771,282.1765,3.285,0.5107,0.0048,0.0003,0.0003,0.0006,0.0008,0.0005,0.0006,0.6252,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
14,churnONEHOT_y,kmodes,2.0,,,1000.0,20.0,0.8189706802368164,-0.004,5.1459,22.0871,0.5488,-0.002,0.0,-0.0003,0.0,0.0,0.0,0.0,0.6703,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
15,churnONEHOT_y,pyc_xmeans,,,,inf,20.0,0.0334939956665039,0.0785,293.739,3.2792,0.4999,0.0,0.0001,-0.0,0.0002,0.0003,0.0002,0.0002,0.6131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,,,,,,,,,,,,,
