,TE_time_Page Submit,CE_time_Page Submit,DE_time_Page Submit,TC_time_Page Submit,CC_time_Page Submit,DC_time_Page Submit
0,47.472,27.074,70.678,32.173,53.543,34.844
1,917.329,392.931,225.969,112.259,73.051,262.328
2,36.424,76.084,129.991,26.47,61.263,111.658
3,22.45,62.702,164.491,131.163,164.427,55.845
4,157.009,96.888,125.063,55.726,61.25,52.525
5,238.665,118.744,118.939,142.122,407.558,196.481
6,28.293,73.632,62.528,52.104,126.242,138.063
7,40.583,128.2,80.138,58.96,552.762,37.426
8,27.547,70.595,52.169,33.823,58.342,76.937
9,41.335,19.867,342.21,94.071,175.045,144.815
10,216.142,284.269,167.692,177.69,162.393,133.13
11,38.683,80.472,80.498,22.618,127.354,93.422
12,32.588,93.152,42.709,56.816,105.738,135.891
13,12.238,29.577,305.482,16.896,21.24,19.895
14,28.918,84.028,104.952,46.135,20.836,135.112
15,79.686,88.082,26.404,33.968,18.624,32.263
16,35.803,161.139,216.259,34.843,162.799,299.081
17,28.73,99.446,92.002,34.08,326.694,104.174
