@relation none
@attribute id integer
@attribute compas_screening_date integer
@attribute sex string
@attribute dob integer
@attribute age integer
@attribute age_cat string
@attribute race string
@attribute juv_fel_count integer
@attribute decile_score integer
@attribute juv_misd_count integer
@attribute juv_other_count integer
@attribute priors_count integer
@attribute days_b_screening_arrest real
@attribute c_jail_in real
@attribute c_jail_out real
@attribute c_offense_date real
@attribute c_arrest_date real
@attribute c_days_from_compas real
@attribute c_charge_degree string
@attribute c_charge_desc string
@attribute is_recid integer
@attribute r_charge_degree string
@attribute r_days_from_arrest real
@attribute r_offense_date real
@attribute r_charge_desc string
@attribute r_jail_in real
@attribute r_jail_out real
@attribute violent_recid real
@attribute is_violent_recid integer
@attribute vr_charge_degree string
@attribute type_of_assessment string
@attribute decile_score.1 integer
@attribute score_text string
@attribute screening_date integer
@attribute v_type_of_assessment string
@attribute v_decile_score integer
@attribute v_score_text string
@attribute v_screening_date integer
@attribute in_custody real
@attribute out_custody real
@attribute priors_count.1 integer
@attribute start integer
@attribute end integer
@attribute event integer
@attribute two_year_recid string
@data
1,20130814,'Male',19470418,69,'Greater than 45','Other',0,1,0,0,0,-1.0,20130813.0,20130814.0,20130813.0,20129338.55233069,1.0,'F','Aggravated Assault w/Firearm',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130814,'Risk of Violence',1,'Low',20130814,20140707.0,20140714.0,0,0,327,0,'0'
3,20130127,'Male',19820122,34,'25 - 45','African-American',0,3,0,0,0,-1.0,20130126.0,20130205.0,20130126.0,20129338.55233069,1.0,'F','Felony Battery w/Prior Convict',1,'(F3)',20.269430051813472,20130705.0,'Felony Battery (Dom Strang)',20142328.04015544,20143381.623488773,nan,1,'(F3)','Risk of Recidivism',3,'Low',20130127,'Risk of Violence',1,'Low',20130127,20130126.0,20130205.0,0,9,159,1,'1'
4,20130414,'Male',19910514,24,'Less than 25','African-American',0,4,0,1,4,-1.0,20130413.0,20130414.0,20130413.0,20129338.55233069,1.0,'F','Possession of Cocaine',1,'(M1)',0.0,20130616.0,'Driving Under The Influence',20130616.0,20130616.0,nan,0,'(M1)','Risk of Recidivism',4,'Low',20130414,'Risk of Violence',3,'Low',20130414,20130616.0,20130616.0,4,0,63,0,'1'
5,20130113,'Male',19930121,23,'Less than 25','African-American',0,8,1,0,1,3.304763283625308,20133664.740987405,20134070.9431012,20130112.0,20129338.55233069,1.0,'F','Possession of Cannabis',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',8,'High',20130113,'Risk of Violence',6,'Medium',20130113,20136526.64402408,20137681.66408713,1,0,1174,0,'0'
6,20130326,'Male',19730122,43,'25 - 45','Other',0,1,0,0,2,3.304763283625308,20133664.740987405,20134070.9431012,20132323.86044592,20130109.0,76.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130326,'Risk of Violence',1,'Low',20130326,20136526.64402408,20137681.66408713,2,0,1102,0,'0'
7,20131130,'Male',19710822,44,'25 - 45','Other',0,1,0,0,0,0.0,20131130.0,20131201.0,20131130.0,20129338.55233069,0.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20131130,'Risk of Violence',1,'Low',20131130,20131130.0,20131201.0,0,1,853,0,'0'
8,20140219,'Male',19740723,41,'25 - 45','Caucasian',0,6,0,0,14,-1.0,20140218.0,20140224.0,20140218.0,20129338.55233069,1.0,'F','Possession Burglary Tools',1,'(F2)',0.0,20140331.0,'Poss of Firearm by Convic Felo',20140331.0,20140418.0,nan,0,'(M1)','Risk of Recidivism',6,'Medium',20140219,'Risk of Violence',2,'Low',20140219,20140331.0,20140418.0,14,5,40,1,'1'
9,20130830,'Male',19730225,43,'25 - 45','Other',0,4,0,0,3,-1.0,20130829.0,20130830.0,20132323.86044592,20130829.0,1.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20130830,'Risk of Violence',3,'Low',20130830,20140522.0,20140603.0,3,0,265,0,'0'
10,20140316,'Female',19760603,39,'25 - 45','Caucasian',0,1,0,0,0,-1.0,20140315.0,20140318.0,20140315.0,20129338.55233069,1.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20140316,'Risk of Violence',1,'Low',20140316,20140315.0,20140318.0,0,2,747,0,'0'
13,20131104,'Male',19940610,21,'Less than 25','Caucasian',0,3,0,0,1,428.0,20150106.0,20150107.0,20121231.0,20129338.55233069,308.0,'F','Insurance Fraud',1,'(M1)',0.0,20150106.0,'Battery',20150106.0,20150107.0,nan,1,'(F2)','Risk of Recidivism',3,'Low',20131104,'Risk of Violence',5,'Medium',20131104,20150106.0,20150107.0,1,0,428,1,'1'
14,20131126,'Male',19880601,27,'25 - 45','Caucasian',0,4,0,0,0,-1.0,20131125.0,20131126.0,20131125.0,20129338.55233069,1.0,'F','Poss 3,4 MDMA (Ecstasy)',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20131126,'Risk of Violence',4,'Low',20131126,20131125.0,20131126.0,0,0,857,0,'0'
15,20131003,'Male',19920818,23,'Less than 25','African-American',0,6,0,0,3,0.0,20131003.0,20131007.0,20131003.0,20129338.55233069,0.0,'M','Battery',1,'(M2)',20.269430051813472,20140208.0,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',6,'Medium',20131003,'Risk of Violence',4,'Low',20131003,20131003.0,20131007.0,3,4,128,1,'1'
16,20130101,'Female',19780822,37,'25 - 45','Caucasian',0,1,0,0,0,0.0,20130101.0,20130102.0,20130101.0,20129338.55233069,0.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130101,'Risk of Violence',1,'Low',20130101,20130101.0,20130102.0,0,1,1186,0,'0'
18,20131009,'Male',19741202,41,'25 - 45','African-American',0,4,0,0,0,-1.0,20131008.0,20131009.0,20131008.0,20129338.55233069,1.0,'F','Poss3,4 Methylenedioxymethcath',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20131009,'Risk of Violence',2,'Low',20131009,20131008.0,20131009.0,0,0,905,0,'0'
19,20131030,'Female',19680614,47,'Greater than 45','Caucasian',0,1,0,0,1,-20.0,20131010.0,20131024.0,20132323.86044592,20120627.0,490.0,'F','arrest case no charge',1,'(F3)',0.0,20140603.0,'Grand Theft (Motor Vehicle)',20140603.0,20141119.0,nan,0,'(M1)','Risk of Recidivism',1,'Low',20131030,'Risk of Violence',1,'Low',20131030,20140603.0,20141119.0,1,0,216,1,'1'
