,default
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,1
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,1
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,1
612,0
613,0
614,1
615,0
616,0
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,1
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,1
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,1
813,1
814,1
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,1
827,1
828,1
829,0
830,0
831,1
832,1
833,0
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,0
846,1
847,0
848,0
849,1
850,1
851,0
852,0
853,1
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,0
880,0
881,0
882,0
883,0
884,1
885,1
886,0
887,1
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,0
917,1
918,1
919,1
920,0
921,0
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,1
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,1
949,1
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,0
963,1
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,0
