n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,2.235781192779541,0.7712,47402.1293,0.4212,0.9887,0.9509,2.0553,0.9716,0.9718,0.9956,0.949,0.9718,0.9582,ShallowTree,2d-10c_y.zip
10,0.01,1000.0,20,1.1808390617370603,0.7712,47402.1293,0.4212,0.9887,0.9509,2.0553,0.9716,0.9718,0.9956,0.949,0.9718,0.9582,ShallowTree,2d-10c_y.zip
10,0.01,100.0,100,0.887005090713501,0.7691,47312.1858,0.4246,0.9889,0.9515,2.0569,0.9723,0.9725,0.9964,0.9497,0.9725,0.9587,ShallowTree,2d-10c_y.zip
10,0.01,100.0,20,2.505469560623169,0.7712,47402.1293,0.4212,0.9887,0.9509,2.0553,0.9716,0.9718,0.9956,0.949,0.9718,0.9582,ShallowTree,2d-10c_y.zip
10,0.01,inf,100,2.0170178413391118,0.7712,47402.1293,0.4212,0.9887,0.9509,2.0553,0.9716,0.9718,0.9956,0.949,0.9718,0.9582,ShallowTree,2d-10c_y.zip
10,0.01,inf,20,1.089263677597046,0.7712,47402.1293,0.4212,0.9887,0.9509,2.0553,0.9716,0.9718,0.9956,0.949,0.9718,0.9582,ShallowTree,2d-10c_y.zip
10,0.03,1000.0,100,1.74312424659729,0.7708,47398.964,0.4222,0.9887,0.9506,2.0553,0.9715,0.9717,0.9956,0.9488,0.9717,0.9579,ShallowTree,2d-10c_y.zip
10,0.03,1000.0,20,1.28938889503479,0.7708,47398.964,0.4222,0.9887,0.9506,2.0553,0.9715,0.9717,0.9956,0.9488,0.9717,0.9579,ShallowTree,2d-10c_y.zip
10,0.03,100.0,100,1.945666790008545,0.7691,47312.1858,0.4246,0.9889,0.9515,2.0569,0.9723,0.9725,0.9964,0.9497,0.9725,0.9587,ShallowTree,2d-10c_y.zip
10,0.03,100.0,20,0.376035213470459,0.7708,47398.964,0.4222,0.9887,0.9506,2.0553,0.9715,0.9717,0.9956,0.9488,0.9717,0.9579,ShallowTree,2d-10c_y.zip
10,0.03,inf,100,2.057004451751709,0.7708,47398.964,0.4222,0.9887,0.9506,2.0553,0.9715,0.9717,0.9956,0.9488,0.9717,0.9579,ShallowTree,2d-10c_y.zip
10,0.03,inf,20,1.761021852493286,0.7708,47398.964,0.4222,0.9887,0.9506,2.0553,0.9715,0.9717,0.9956,0.9488,0.9717,0.9579,ShallowTree,2d-10c_y.zip
10,0.05,1000.0,100,1.118520975112915,0.7708,47398.2666,0.4228,0.9886,0.9505,2.0553,0.9715,0.9716,0.9956,0.9488,0.9716,0.9578,ShallowTree,2d-10c_y.zip
10,0.05,1000.0,20,0.7185547351837158,0.7708,47398.2666,0.4228,0.9886,0.9505,2.0553,0.9715,0.9716,0.9956,0.9488,0.9716,0.9578,ShallowTree,2d-10c_y.zip
10,0.05,100.0,100,1.3839890956878662,0.7691,47312.1858,0.4246,0.9889,0.9515,2.0569,0.9723,0.9725,0.9964,0.9497,0.9725,0.9587,ShallowTree,2d-10c_y.zip
10,0.05,100.0,20,2.14127779006958,0.7708,47398.2666,0.4228,0.9886,0.9505,2.0553,0.9715,0.9716,0.9956,0.9488,0.9716,0.9578,ShallowTree,2d-10c_y.zip
