eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.100884199142456,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,,,skl_DBSCAN,2d-10c_y.zip
0.1,10,correlation,auto,4,0.1082136631011962,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,1000.0,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,correlation,auto,4,0.0822031497955322,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,100.0,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,correlation,auto,4,0.1015491485595703,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,inf,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,cosine,auto,4,0.1053018569946289,0.5129,2926.1897,0.6768,0.7666,0.4258,1.0389,0.669,0.6696,0.5033,1.0,0.6696,0.609,,,skl_DBSCAN,2d-10c_y.zip
0.1,10,cosine,auto,4,0.0881547927856445,0.5129,2926.1897,0.6768,0.7666,0.4258,1.0389,0.669,0.6696,0.5033,1.0,0.6696,0.609,1000.0,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,cosine,auto,4,0.1020019054412841,0.5129,2926.1897,0.6768,0.7666,0.4258,1.0389,0.669,0.6696,0.5033,1.0,0.6696,0.609,100.0,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,cosine,auto,4,0.0985033512115478,0.5129,2926.1897,0.6768,0.7666,0.4258,1.0389,0.669,0.6696,0.5033,1.0,0.6696,0.609,inf,20.0,skl_DBSCAN,2d-10c_y.zip
0.1,10,euclidean,auto,4,0.0122692584991455,0.831,26997.672,1.0948,0.9987,0.9945,2.0585,0.9922,0.9923,0.9972,0.9874,0.9923,0.9953,,,skl_DBSCAN,2d-10c_y.zip
0.1,10,euclidean,auto,4,0.0141322612762451,0.831,26997.672,1.0948,0.9987,0.9945,2.0585,0.9922,0.9923,0.9972,0.9874,0.9923,0.9953,1000.0,20.0,skl_DBSCAN,2d-10c_y.zip
