max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,20,30,50,1000.0,100,0.0,42,1,False,0,0.0981910228729248,0.2141,460.3773,1.0792,0.889,0.3913,2.121,0.7755,0.7853,0.7219,0.8609,0.7853,0.4918,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,1,False,1,0.0986254215240478,0.2141,460.3773,1.0792,0.889,0.3913,2.121,0.7755,0.7853,0.7219,0.8609,0.7853,0.4918,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,1,False,2,0.0982422828674316,0.2141,460.3773,1.0792,0.889,0.3913,2.121,0.7755,0.7853,0.7219,0.8609,0.7853,0.4918,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,1,False,5,0.0978679656982421,0.2141,460.3773,1.0792,0.889,0.3913,2.121,0.7755,0.7853,0.7219,0.8609,0.7853,0.4918,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,2,False,0,0.1002590656280517,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,2,False,1,0.1002588272094726,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,2,False,2,0.1000680923461914,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.0,42,2,False,5,0.1001091003417968,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,1,False,0,0.0784506797790527,0.4667,2184.3316,0.9044,0.9793,0.7966,2.604,0.8783,0.8837,0.8862,0.8811,0.8837,0.8076,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,1,False,1,0.0786800384521484,0.4667,2184.3316,0.9044,0.9793,0.7966,2.604,0.8783,0.8837,0.8862,0.8811,0.8837,0.8076,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,1,False,2,0.0786876678466796,0.4667,2184.3316,0.9044,0.9793,0.7966,2.604,0.8783,0.8837,0.8862,0.8811,0.8837,0.8076,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,1,False,5,0.0788671970367431,0.4667,2184.3316,0.9044,0.9793,0.7966,2.604,0.8783,0.8837,0.8862,0.8811,0.8837,0.8076,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,2,False,0,0.1097817420959472,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,2,False,1,0.1015796661376953,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,2,False,2,0.1000428199768066,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
10,20,30,50,1000.0,100,0.1,42,2,False,5,0.1001803874969482,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,PrincipalParTree,2d-20c-no0_y.zip
