n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.0618045330047607,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.01,1000.0,20,0.0814282894134521,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.01,100.0,100,0.0364165306091308,0.5224,2790.9046,0.624,0.9352,0.5861,2.1263,0.8198,0.8239,0.7237,0.9564,0.8239,0.6599,ShallowTree,2d-20c-no0_y.zip
10,0.01,100.0,20,0.0650722980499267,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.01,inf,100,0.0634119510650634,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.01,inf,20,0.0638291835784912,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.03,1000.0,100,0.0828349590301513,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.03,1000.0,20,0.0604786872863769,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.03,100.0,100,0.0480923652648925,0.5224,2790.9046,0.624,0.9352,0.5861,2.1263,0.8198,0.8239,0.7237,0.9564,0.8239,0.6599,ShallowTree,2d-20c-no0_y.zip
10,0.03,100.0,20,0.0595772266387939,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.03,inf,100,0.0617265701293945,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.03,inf,20,0.0652418136596679,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.05,1000.0,100,0.0786154270172119,0.5266,2643.8254,0.6279,0.9385,0.5989,2.1418,0.8229,0.8269,0.7289,0.9553,0.8269,0.6684,ShallowTree,2d-20c-no0_y.zip
10,0.05,1000.0,20,0.0835695266723632,0.5266,2643.8254,0.6279,0.9385,0.5989,2.1418,0.8229,0.8269,0.7289,0.9553,0.8269,0.6684,ShallowTree,2d-20c-no0_y.zip
10,0.05,100.0,100,0.0362000465393066,0.5224,2790.9046,0.624,0.9352,0.5861,2.1263,0.8198,0.8239,0.7237,0.9564,0.8239,0.6599,ShallowTree,2d-20c-no0_y.zip
10,0.05,100.0,20,0.0633034706115722,0.5266,2643.8254,0.6279,0.9385,0.5989,2.1418,0.8229,0.8269,0.7289,0.9553,0.8269,0.6684,ShallowTree,2d-20c-no0_y.zip
10,0.05,inf,100,0.0849854946136474,0.5266,2643.8254,0.6279,0.9385,0.5989,2.1418,0.8229,0.8269,0.7289,0.9553,0.8269,0.6684,ShallowTree,2d-20c-no0_y.zip
10,0.05,inf,20,0.0649888515472412,0.5266,2643.8254,0.6279,0.9385,0.5989,2.1418,0.8229,0.8269,0.7289,0.9553,0.8269,0.6684,ShallowTree,2d-20c-no0_y.zip
10,0.0,1000.0,100,0.0789475440979003,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.0,1000.0,20,0.0621187686920166,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.0,100.0,100,0.0416393280029296,0.5224,2790.9046,0.624,0.9352,0.5861,2.1263,0.8198,0.8239,0.7237,0.9564,0.8239,0.6599,ShallowTree,2d-20c-no0_y.zip
10,0.0,100.0,20,0.0601801872253418,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
10,0.0,inf,100,0.0659375190734863,0.5258,2642.265,0.6306,0.9385,0.5984,2.1378,0.8211,0.8252,0.7276,0.953,0.8252,0.6676,ShallowTree,2d-20c-no0_y.zip
