n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.2311692237854004,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,,,kmodes,2d-20c-no0_y.zip
10,100,Cao,11,False,42,4,0.1724741458892822,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,1000.0,20.0,kmodes,2d-20c-no0_y.zip
10,100,Cao,11,False,42,4,0.174875259399414,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,100.0,20.0,kmodes,2d-20c-no0_y.zip
10,100,Cao,11,False,42,4,0.1744318008422851,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,inf,20.0,kmodes,2d-20c-no0_y.zip
10,300,Cao,11,False,42,4,0.2422215938568115,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,,,kmodes,2d-20c-no0_y.zip
10,300,Cao,11,False,42,4,0.1793148517608642,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,1000.0,20.0,kmodes,2d-20c-no0_y.zip
10,300,Cao,11,False,42,4,0.1728043556213379,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,100.0,20.0,kmodes,2d-20c-no0_y.zip
10,300,Cao,11,False,42,4,0.1733524799346923,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,inf,20.0,kmodes,2d-20c-no0_y.zip
10,500,Cao,11,False,42,4,0.2334961891174316,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,,,kmodes,2d-20c-no0_y.zip
10,500,Cao,11,False,42,4,0.1734561920166015,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,1000.0,20.0,kmodes,2d-20c-no0_y.zip
10,500,Cao,11,False,42,4,0.173485517501831,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,100.0,20.0,kmodes,2d-20c-no0_y.zip
10,500,Cao,11,False,42,4,0.1764485836029052,-0.2043,1.2872,1.0018,0.066,-0.0002,0.0183,-0.0002,0.0122,0.0062,0.3387,0.0122,0.2314,inf,20.0,kmodes,2d-20c-no0_y.zip
12,100,Cao,11,False,42,4,0.2792789936065674,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,,,kmodes,2d-20c-no0_y.zip
12,100,Cao,11,False,42,4,0.1964004039764404,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,1000.0,20.0,kmodes,2d-20c-no0_y.zip
12,100,Cao,11,False,42,4,0.1932902336120605,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,100.0,20.0,kmodes,2d-20c-no0_y.zip
12,100,Cao,11,False,42,4,0.1947569847106933,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,inf,20.0,kmodes,2d-20c-no0_y.zip
12,300,Cao,11,False,42,4,0.2652609348297119,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,,,kmodes,2d-20c-no0_y.zip
12,300,Cao,11,False,42,4,0.1947081089019775,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,1000.0,20.0,kmodes,2d-20c-no0_y.zip
