eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,0.0414559841156005,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.1,10,cosine,auto,4,0.0301458835601806,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.1,10,euclidean,auto,4,0.0087673664093017,0.5758,1046.1698,1.3157,0.9863,0.8685,2.7365,0.9277,0.931,0.9313,0.9307,0.931,0.8758,skl_DBSCAN,2d-20c-no0_y.zip
0.1,2,correlation,auto,4,0.045098066329956,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.1,2,cosine,auto,4,0.0424673557281494,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.1,2,euclidean,auto,4,0.0135214328765869,0.5959,2074.6363,1.9299,0.9974,0.9745,2.906,0.9751,0.9764,0.989,0.9642,0.9764,0.976,skl_DBSCAN,2d-20c-no0_y.zip
0.1,5,correlation,auto,4,0.0447852611541748,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.1,5,cosine,auto,4,0.0410478115081787,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.1,5,euclidean,auto,4,0.0071089267730712,0.6268,1828.6778,1.6672,0.9957,0.9571,2.8629,0.9648,0.9665,0.9744,0.9587,0.9665,0.9596,skl_DBSCAN,2d-20c-no0_y.zip
0.25,10,correlation,auto,4,0.0382134914398193,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.25,10,cosine,auto,4,0.0379962921142578,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.25,10,euclidean,auto,4,0.0103623867034912,0.3184,1103.2827,1.0639,0.8711,0.4081,1.8749,0.7732,0.7778,0.6381,0.996,0.7778,0.5446,skl_DBSCAN,2d-20c-no0_y.zip
0.25,2,correlation,auto,4,0.0427734851837158,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.25,2,cosine,auto,4,0.0326457023620605,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.25,2,euclidean,auto,4,0.0096323490142822,0.1067,334.7022,0.8339,0.743,0.2259,1.5264,0.6773,0.6833,0.5195,0.998,0.6833,0.4181,skl_DBSCAN,2d-20c-no0_y.zip
0.25,5,correlation,auto,4,0.04386568069458,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
0.25,5,cosine,auto,4,0.0307338237762451,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2334,skl_DBSCAN,2d-20c-no0_y.zip
0.25,5,euclidean,auto,4,0.0081794261932373,0.3184,1103.2827,1.0639,0.8711,0.4081,1.8749,0.7732,0.7778,0.6381,0.996,0.7778,0.5446,skl_DBSCAN,2d-20c-no0_y.zip
0.5,10,correlation,auto,4,0.0393054485321044,0.2692,496.1166,1.6052,0.5302,0.0823,0.5439,0.2982,0.3007,0.1851,0.8005,0.3007,0.2932,skl_DBSCAN,2d-20c-no0_y.zip
