threshold,branching_factor,n_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.5,50,10,0.0224733352661132,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,,,skl_birch,2d-20c-no0_y.zip
0.5,50,10,0.0224866867065429,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,1000.0,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,10,0.0222041606903076,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,100.0,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,10,0.0224225521087646,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,inf,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,12,0.024630069732666,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,,,skl_birch,2d-20c-no0_y.zip
0.5,50,12,0.0223176479339599,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,1000.0,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,12,0.0222077369689941,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,100.0,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,12,0.0223004817962646,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,inf,20.0,skl_birch,2d-20c-no0_y.zip
0.5,50,2,0.0224776268005371,0.3155,569.44,1.1624,0.4188,0.0639,0.5475,0.3114,0.3139,0.1864,0.9951,0.3139,0.2927,,,skl_birch,2d-20c-no0_y.zip
0.5,50,20,0.0221052169799804,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,,,skl_birch,2d-20c-no0_y.zip
