n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1541976928710937,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,,,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1081385612487793,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,1000.0,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1090486049652099,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,100.0,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1167540550231933,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,inf,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1202054023742675,0.5328,2623.0684,0.6659,0.9613,0.7124,2.3676,0.8767,0.88,0.8058,0.9692,0.88,0.7547,,,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1198742389678955,0.5328,2623.0684,0.6659,0.9613,0.7124,2.3676,0.8767,0.88,0.8058,0.9692,0.88,0.7547,1000.0,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1498138904571533,0.5328,2623.0684,0.6659,0.9613,0.7124,2.3676,0.8767,0.88,0.8058,0.9692,0.88,0.7547,100.0,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1211068630218505,0.5328,2623.0684,0.6659,0.9613,0.7124,2.3676,0.8767,0.88,0.8058,0.9692,0.88,0.7547,inf,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1213183403015136,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,,,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1313300132751464,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,1000.0,20.0,skl_bis_kmeans,2d-20c-no0_y.zip-12_k
