min_nr_instances,min_y,min_rd,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,1,10,6.237675428390503,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,1,15,6.188716888427734,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,1,20,6.216172695159912,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,1,25,6.1674463748931885,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,1,30,6.214610815048218,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,1,5,6.225085496902466,-0.3674,24.5717,15.8433,0.5729,0.1307,0.4159,0.3271,0.3389,0.4353,0.2774,0.3389,0.5063,CLTree,2d-3c-no123_y.zip
2,2,10,6.163257122039795,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,2,15,6.217952966690064,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,2,20,6.193125009536743,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,2,25,6.201174736022949,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,2,30,6.159076690673828,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,2,5,6.165652275085449,-0.3623,30.9093,14.4857,0.5603,0.1518,0.3312,0.339,0.3463,0.3466,0.346,0.3463,0.5818,CLTree,2d-3c-no123_y.zip
2,3,10,6.223973274230957,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,3,15,6.1231849193573,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,3,20,6.226563930511475,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,3,25,6.208300352096558,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,3,30,6.275911569595337,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,3,5,6.182549238204956,-0.3703,38.5924,7.0841,0.5651,0.178,0.3064,0.35,0.3556,0.3207,0.3991,0.3556,0.6184,CLTree,2d-3c-no123_y.zip
2,4,10,6.152244329452515,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
2,4,15,6.178324460983276,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
2,4,20,6.16145658493042,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
2,4,25,6.155885219573975,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
2,4,30,6.214977025985718,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
2,4,5,6.18378472328186,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,CLTree,2d-3c-no123_y.zip
