amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.007171630859375,0.4336,1287.9385,0.7357,0.707,0.3308,0.9102,0.5809,0.5844,0.9526,0.4215,0.5844,0.5442,,,pyc_xmeans,2d-3c-no123_y.zip
10,10,0.0076823234558105,0.4174,1243.4353,0.781,0.7094,0.3358,0.9227,0.5894,0.5928,0.9657,0.4276,0.5928,0.5492,1000.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,10,0.0079538822174072,0.4224,1244.3841,0.7795,0.7097,0.3369,0.9226,0.591,0.5944,0.9655,0.4294,0.5944,0.5499,100.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,10,0.0092511177062988,0.3899,1173.6467,0.8626,0.7029,0.3199,0.8897,0.5635,0.5671,0.9311,0.4077,0.5671,0.5349,inf,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,14,0.0128412246704101,0.4303,1281.9011,0.7557,0.7059,0.3279,0.9102,0.5796,0.583,0.9526,0.4201,0.583,0.5417,,,pyc_xmeans,2d-3c-no123_y.zip
10,14,0.0081892013549804,0.4282,1289.6264,0.7655,0.7071,0.3302,0.9337,0.5928,0.5961,0.9772,0.4289,0.5961,0.5443,1000.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,14,0.0067465305328369,0.3911,1265.6848,0.8072,0.6874,0.2806,0.9057,0.5626,0.5661,0.9479,0.4035,0.5661,0.499,100.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,14,0.0075159072875976,0.4332,1286.7452,0.7672,0.7059,0.3279,0.9102,0.5796,0.583,0.9526,0.4201,0.583,0.5417,inf,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,18,0.0073137283325195,0.4204,1237.3047,0.7886,0.7083,0.3336,0.9178,0.5873,0.5908,0.9606,0.4266,0.5908,0.5469,,,pyc_xmeans,2d-3c-no123_y.zip
10,18,0.0082130432128906,0.4296,1285.2145,0.7556,0.7065,0.329,0.9236,0.5875,0.5909,0.9666,0.4255,0.5909,0.5429,1000.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,18,0.0074527263641357,0.4082,1225.3547,0.8244,0.7053,0.3256,0.9159,0.5797,0.5832,0.9585,0.4191,0.5832,0.5403,100.0,20.0,pyc_xmeans,2d-3c-no123_y.zip
10,18,0.0071425437927246,0.3973,1261.8101,0.8106,0.69,0.287,0.9147,0.5693,0.5728,0.9573,0.4086,0.5728,0.5052,inf,20.0,pyc_xmeans,2d-3c-no123_y.zip
