eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.0122814178466796,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,,,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,correlation,auto,4,0.0167422294616699,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,1000.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,correlation,auto,4,0.0101294517517089,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,100.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,correlation,auto,4,0.0102260112762451,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,inf,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,cosine,auto,4,0.0103523731231689,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,,,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,cosine,auto,4,0.0315349102020263,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,1000.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,cosine,auto,4,0.0101444721221923,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,100.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,cosine,auto,4,0.0100865364074707,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,inf,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,euclidean,auto,4,0.0041980743408203,-0.0112,73.1306,1.5673,0.5287,0.0597,0.2746,0.2851,0.2883,0.2874,0.2893,0.2883,0.492,,,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,euclidean,auto,4,0.0060036182403564,-0.0112,73.1306,1.5673,0.5287,0.0597,0.2746,0.2851,0.2883,0.2874,0.2893,0.2883,0.492,1000.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,euclidean,auto,4,0.0042219161987304,-0.0112,73.1306,1.5673,0.5287,0.0597,0.2746,0.2851,0.2883,0.2874,0.2893,0.2883,0.492,100.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,10,euclidean,auto,4,0.0072698593139648,-0.0112,73.1306,1.5673,0.5287,0.0597,0.2746,0.2851,0.2883,0.2874,0.2893,0.2883,0.492,inf,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,correlation,auto,4,0.0121879577636718,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,,,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,correlation,auto,4,0.0174536705017089,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,1000.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,correlation,auto,4,0.0142378807067871,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,100.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,correlation,auto,4,0.0094578266143798,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,inf,20.0,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,cosine,auto,4,0.0105092525482177,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,,,skl_DBSCAN,2d-3c-no123_y.zip
0.1,2,cosine,auto,4,0.0125813484191894,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451,1000.0,20.0,skl_DBSCAN,2d-3c-no123_y.zip
