min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,1.9090876579284668,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,,,skl_OPTICS,2d-3c-no123_y.zip
10,inf,correlation,auto,4,1.7449958324432373,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,1000.0,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,correlation,auto,4,1.844233751296997,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,100.0,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,correlation,auto,4,1.7195258140563965,0.2223,134.6176,2.0331,0.5446,0.0898,0.1105,0.1328,0.1343,0.1156,0.16,0.1343,0.5062,inf,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,cosine,auto,4,2.879897117614746,-0.2641,37.1666,5.4106,0.5863,0.0475,0.5648,0.2726,0.2898,0.5911,0.1919,0.2898,0.261,,,skl_OPTICS,2d-3c-no123_y.zip
10,inf,cosine,auto,4,2.9406394958496094,-0.2641,37.1666,5.4106,0.5863,0.0475,0.5648,0.2726,0.2898,0.5911,0.1919,0.2898,0.261,1000.0,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,cosine,auto,4,2.6566498279571533,-0.2641,37.1666,5.4106,0.5863,0.0475,0.5648,0.2726,0.2898,0.5911,0.1919,0.2898,0.261,100.0,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,cosine,auto,4,2.543984889984131,-0.2641,37.1666,5.4106,0.5863,0.0475,0.5648,0.2726,0.2898,0.5911,0.1919,0.2898,0.261,inf,20.0,skl_OPTICS,2d-3c-no123_y.zip
10,inf,euclidean,auto,4,1.2821321487426758,-0.2944,46.844,1.2314,0.5551,0.1121,0.3292,0.2879,0.2976,0.3446,0.2619,0.2976,0.5204,,,skl_OPTICS,2d-3c-no123_y.zip
10,inf,euclidean,auto,4,1.3104033470153809,-0.2944,46.844,1.2314,0.5551,0.1121,0.3292,0.2879,0.2976,0.3446,0.2619,0.2976,0.5204,1000.0,20.0,skl_OPTICS,2d-3c-no123_y.zip
