n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0838751792907714,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0826680660247802,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0868532657623291,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.1411812305450439,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.083491563796997,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0886244773864746,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0958678722381591,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0856533050537109,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0889787673950195,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0852618217468261,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0862250328063964,0.264,508.6998,0.8868,0.644,0.2255,0.5029,0.4125,0.4153,0.5263,0.3429,0.4153,0.4863,kmeans+dt,2d-3c-no123_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0861537456512451,0.305,558.3947,0.7555,0.6589,0.2606,0.5513,0.4618,0.4644,0.577,0.3886,0.4644,0.5143,kmeans+dt,2d-3c-no123_y.zip-6_True_k
