n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.0813677310943603,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,,,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.0785939693450927,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.0767104625701904,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.115006685256958,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.0898854732513427,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,,,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.0850672721862793,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.088707685470581,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.0822157859802246,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.0822863578796386,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,,,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.0850837230682373,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.074855089187622,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.0776484012603759,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.0785939693450927,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.0767104625701904,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,0.115006685256958,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.0850672721862793,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.088707685470581,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,0.0822157859802246,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.0850837230682373,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,1000.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.074855089187622,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,100.0,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,0.0776484012603759,0.4286,1231.776,0.7583,0.7422,0.4225,0.8379,0.6191,0.6211,0.877,0.4808,0.6211,0.6182,inf,20.0,skl_kmeans,2d-3c-no123_y.zip-6_k
