n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0958235263824462,0.4556,2215.3946,0.7879,0.8223,0.4589,1.2616,0.7069,0.7094,0.9563,0.5639,0.7094,0.6038,ExKMC,2d-4c-no9_y.zip
10,10,IMM,1000.0,20,0.0652828216552734,0.4556,2215.3946,0.7879,0.8223,0.4589,1.2616,0.7069,0.7094,0.9563,0.5639,0.7094,0.6038,ExKMC,2d-4c-no9_y.zip
10,10,IMM,100.0,100,0.0493392944335937,0.4692,2181.8827,0.7263,0.8367,0.5115,1.2635,0.7212,0.7237,0.9577,0.5816,0.7237,0.6451,ExKMC,2d-4c-no9_y.zip
10,10,IMM,100.0,20,0.0069057941436767,0.4556,2215.3946,0.7879,0.8223,0.4589,1.2616,0.7069,0.7094,0.9563,0.5639,0.7094,0.6038,ExKMC,2d-4c-no9_y.zip
10,10,IMM,inf,100,0.0070772171020507,0.4556,2215.3946,0.7879,0.8223,0.4589,1.2616,0.7069,0.7094,0.9563,0.5639,0.7094,0.6038,ExKMC,2d-4c-no9_y.zip
10,10,IMM,inf,20,0.0068457126617431,0.4556,2215.3946,0.7879,0.8223,0.4589,1.2616,0.7069,0.7094,0.9563,0.5639,0.7094,0.6038,ExKMC,2d-4c-no9_y.zip
10,10,NONE,1000.0,100,0.1118566989898681,0.4373,1935.6765,0.7988,0.8242,0.4674,1.2464,0.7008,0.7034,0.9447,0.5603,0.7034,0.6098,ExKMC,2d-4c-no9_y.zip
10,10,NONE,1000.0,20,0.0742456912994384,0.4373,1935.6765,0.7988,0.8242,0.4674,1.2464,0.7008,0.7034,0.9447,0.5603,0.7034,0.6098,ExKMC,2d-4c-no9_y.zip
10,10,NONE,100.0,100,0.0475001335144043,0.4433,1942.1012,0.7609,0.8326,0.4988,1.2294,0.7004,0.7031,0.9318,0.5645,0.7031,0.6339,ExKMC,2d-4c-no9_y.zip
10,10,NONE,100.0,20,0.0746426582336425,0.4373,1935.6765,0.7988,0.8242,0.4674,1.2464,0.7008,0.7034,0.9447,0.5603,0.7034,0.6098,ExKMC,2d-4c-no9_y.zip
10,10,NONE,inf,100,0.0907814502716064,0.4373,1935.6765,0.7988,0.8242,0.4674,1.2464,0.7008,0.7034,0.9447,0.5603,0.7034,0.6098,ExKMC,2d-4c-no9_y.zip
10,10,NONE,inf,20,0.0717017650604248,0.4373,1935.6765,0.7988,0.8242,0.4674,1.2464,0.7008,0.7034,0.9447,0.5603,0.7034,0.6098,ExKMC,2d-4c-no9_y.zip
10,12,IMM,1000.0,100,0.0089623928070068,0.456,2216.8614,0.7869,0.8224,0.4594,1.2616,0.707,0.7096,0.9563,0.5641,0.7096,0.6043,ExKMC,2d-4c-no9_y.zip
10,12,IMM,1000.0,20,0.0090503692626953,0.456,2216.8614,0.7869,0.8224,0.4594,1.2616,0.707,0.7096,0.9563,0.5641,0.7096,0.6043,ExKMC,2d-4c-no9_y.zip
10,12,IMM,100.0,100,0.0092687606811523,0.4692,2181.8827,0.7263,0.8367,0.5115,1.2635,0.7212,0.7237,0.9577,0.5816,0.7237,0.6451,ExKMC,2d-4c-no9_y.zip
10,12,IMM,100.0,20,0.0093400478363037,0.456,2216.8614,0.7869,0.8224,0.4594,1.2616,0.707,0.7096,0.9563,0.5641,0.7096,0.6043,ExKMC,2d-4c-no9_y.zip
10,12,IMM,inf,100,0.008929967880249,0.456,2216.8614,0.7869,0.8224,0.4594,1.2616,0.707,0.7096,0.9563,0.5641,0.7096,0.6043,ExKMC,2d-4c-no9_y.zip
10,12,IMM,inf,20,0.0089612007141113,0.456,2216.8614,0.7869,0.8224,0.4594,1.2616,0.707,0.7096,0.9563,0.5641,0.7096,0.6043,ExKMC,2d-4c-no9_y.zip
10,12,NONE,1000.0,100,0.074326753616333,0.441,2188.3321,0.8122,0.8209,0.4536,1.2616,0.7038,0.7064,0.9563,0.5601,0.7064,0.5997,ExKMC,2d-4c-no9_y.zip
10,12,NONE,1000.0,20,0.0129175186157226,0.441,2188.3321,0.8122,0.8209,0.4536,1.2616,0.7038,0.7064,0.9563,0.5601,0.7064,0.5997,ExKMC,2d-4c-no9_y.zip
10,12,NONE,100.0,100,0.0123965740203857,0.4598,2119.6028,0.7422,0.8341,0.5031,1.2418,0.7074,0.71,0.9412,0.57,0.71,0.6379,ExKMC,2d-4c-no9_y.zip
10,12,NONE,100.0,20,0.0123195648193359,0.441,2188.3321,0.8122,0.8209,0.4536,1.2616,0.7038,0.7064,0.9563,0.5601,0.7064,0.5997,ExKMC,2d-4c-no9_y.zip
10,12,NONE,inf,100,0.0123713016510009,0.441,2188.3321,0.8122,0.8209,0.4536,1.2616,0.7038,0.7064,0.9563,0.5601,0.7064,0.5997,ExKMC,2d-4c-no9_y.zip
10,12,NONE,inf,20,0.0124032497406005,0.441,2188.3321,0.8122,0.8209,0.4536,1.2616,0.7038,0.7064,0.9563,0.5601,0.7064,0.5997,ExKMC,2d-4c-no9_y.zip
12,12,IMM,1000.0,100,0.0073981285095214,0.4384,2041.5605,0.8099,0.8063,0.3972,1.2616,0.6742,0.6775,0.9563,0.5246,0.6775,0.5545,ExKMC,2d-4c-no9_y.zip
12,12,IMM,1000.0,20,0.0077552795410156,0.4384,2041.5605,0.8099,0.8063,0.3972,1.2616,0.6742,0.6775,0.9563,0.5246,0.6775,0.5545,ExKMC,2d-4c-no9_y.zip
