max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,3.3693182468414307,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,100.0,0.1,3.2908856868743896,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,100.0,0.2,3.381765365600586,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,20.0,0.0,3.347182273864746,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,20.0,0.1,3.3157546520233154,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,20.0,0.2,3.361314535140991,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,inf,0.0,4.523902654647827,-0.2575,2.4673,0.6044,0.2858,-0.0038,0.011,-0.0038,0.0157,0.0083,0.1372,0.0157,0.5206,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,inf,0.1,4.473984718322754,-0.2575,2.4673,0.6044,0.2858,-0.0038,0.011,-0.0038,0.0157,0.0083,0.1372,0.0157,0.5206,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,1000.0,inf,0.2,4.526709794998169,-0.2575,2.4673,0.6044,0.2858,-0.0038,0.011,-0.0038,0.0157,0.0083,0.1372,0.0157,0.5206,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,100.0,20.0,0.0,0.4316625595092773,0.4002,1471.642,0.9497,0.8281,0.4849,1.1945,0.6871,0.69,0.9054,0.5574,0.69,0.6217,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,100.0,20.0,0.1,0.4225730895996094,0.4002,1471.642,0.9497,0.8281,0.4849,1.1945,0.6871,0.69,0.9054,0.5574,0.69,0.6217,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,100.0,20.0,0.2,0.4478249549865722,0.4002,1471.642,0.9497,0.8281,0.4849,1.1945,0.6871,0.69,0.9054,0.5574,0.69,0.6217,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,100.0,0.0,3.3773770332336426,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,100.0,0.1,3.395249366760254,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,100.0,0.2,3.373565673828125,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,20.0,0.0,3.3688669204711914,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,20.0,0.1,3.403937101364136,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,20.0,0.2,3.275216817855835,0.3981,1489.9052,0.8987,0.8201,0.4551,1.1879,0.6699,0.6728,0.9004,0.5371,0.6728,0.5983,VarianceParTree,2d-4c-no9_y.zip
10,10,30,50,inf,inf,0.0,4.400727033615112,-0.2575,2.4673,0.6044,0.2858,-0.0038,0.011,-0.0038,0.0157,0.0083,0.1372,0.0157,0.5206,VarianceParTree,2d-4c-no9_y.zip
