n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,correlation,average,0.0086393356323242,-0.3749,62.4112,1.3366,0.6179,0.2522,0.3397,0.3364,0.3396,0.2575,0.4985,0.3396,0.5512,skl_agglomerativeClust,2d-4c-no9_y.zip
4,correlation,complete,0.0083229541778564,0.0729,61.3321,82.339,0.6771,0.2447,0.3481,0.2732,0.2762,0.2639,0.2897,0.2762,0.4771,skl_agglomerativeClust,2d-4c-no9_y.zip
4,correlation,single,0.005995750427246,-0.0057,63.586,1.2378,0.6174,0.2515,0.3392,0.336,0.3392,0.2571,0.4983,0.3392,0.5509,skl_agglomerativeClust,2d-4c-no9_y.zip
4,cosine,average,0.0098965167999267,0.3677,1246.3115,0.6704,0.8581,0.6721,0.8523,0.7052,0.7066,0.646,0.7796,0.7066,0.7784,skl_agglomerativeClust,2d-4c-no9_y.zip
4,cosine,complete,0.0103802680969238,0.3941,1331.2727,0.8581,0.8506,0.6455,0.8586,0.6797,0.6811,0.6508,0.7143,0.6811,0.7534,skl_agglomerativeClust,2d-4c-no9_y.zip
4,cosine,single,0.0046398639678955,0.1589,453.2217,0.9709,0.7363,0.4861,0.6217,0.618,0.62,0.4712,0.9061,0.62,0.709,skl_agglomerativeClust,2d-4c-no9_y.zip
4,euclidean,average,0.0085108280181884,0.5577,1247.8617,0.5849,0.8734,0.708,0.9023,0.7514,0.7524,0.6839,0.8362,0.7524,0.8036,skl_agglomerativeClust,2d-4c-no9_y.zip
4,euclidean,complete,0.0088410377502441,0.4742,1349.7105,0.8363,0.8626,0.6744,0.9091,0.7211,0.7222,0.6891,0.7587,0.7222,0.7741,skl_agglomerativeClust,2d-4c-no9_y.zip
4,euclidean,single,0.0049331188201904,0.0625,210.4937,0.8864,0.7579,0.5239,0.6725,0.6688,0.6703,0.5097,0.9788,0.6703,0.7306,skl_agglomerativeClust,2d-4c-no9_y.zip
4,euclidean,ward,0.0097873210906982,0.5531,1664.6131,0.6408,0.9449,0.8614,1.1428,0.8558,0.8563,0.8662,0.8467,0.8563,0.8995,skl_agglomerativeClust,2d-4c-no9_y.zip
