max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,4,30,50,1000.0,100,0.0,42,1,False,0,0.0163297653198242,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,1,False,1,0.0169920921325683,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,1,False,2,0.0167820453643798,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,1,False,5,0.0172903537750244,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,2,False,0,0.0209763050079345,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,2,False,1,0.0209431648254394,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,2,False,2,0.0215489864349365,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.0,42,2,False,5,0.0311768054962158,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,1,False,0,0.0163547992706298,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,1,False,1,0.0290064811706542,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,1,False,2,0.0168328285217285,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,1,False,5,0.0363376140594482,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,2,False,0,0.0317447185516357,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
10,4,30,50,1000.0,100,0.1,42,2,False,1,0.0328907966613769,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,PrincipalParTree,2d-4c_y.zip
