amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.0105578899383544,0.553,43881.6556,0.6866,0.7952,0.4353,1.235,0.7126,0.7144,1.0,0.5556,0.7144,0.6018,,,pyc_xmeans,2d-4c_y.zip
10,10,0.0107350349426269,0.4977,38203.3506,0.7487,0.8063,0.4718,1.235,0.7206,0.7224,1.0,0.5654,0.7224,0.6299,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,10,0.0110604763031005,0.5443,42854.6335,0.6909,0.7927,0.4272,1.235,0.7113,0.7131,1.0,0.5541,0.7131,0.5954,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,10,0.0128192901611328,0.4981,37737.2549,0.7348,0.8097,0.4827,1.235,0.723,0.7248,1.0,0.5684,0.7248,0.6382,inf,20.0,pyc_xmeans,2d-4c_y.zip
10,14,0.0144336223602294,0.439,40226.7479,0.7238,0.759,0.311,1.235,0.6455,0.6485,1.0,0.4798,0.6485,0.4995,,,pyc_xmeans,2d-4c_y.zip
10,14,0.0112230777740478,0.4176,39217.0922,0.7862,0.7614,0.3195,1.235,0.6494,0.6523,1.0,0.484,0.6523,0.5069,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,14,0.0154030323028564,0.4492,38823.0339,0.7275,0.762,0.3216,1.235,0.6491,0.652,1.0,0.4837,0.652,0.5087,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,14,0.0115935802459716,0.4411,36367.5504,0.6772,0.7596,0.313,1.235,0.6483,0.6512,1.0,0.4828,0.6512,0.5012,inf,20.0,pyc_xmeans,2d-4c_y.zip
10,18,0.0159015655517578,0.4332,34055.1688,0.6942,0.7423,0.2505,1.235,0.608,0.6121,1.0,0.441,0.6121,0.4445,,,pyc_xmeans,2d-4c_y.zip
10,18,0.0141050815582275,0.4388,33829.5846,0.6955,0.7425,0.2513,1.235,0.6077,0.6118,1.0,0.4407,0.6118,0.4452,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,18,0.0167009830474853,0.4213,31168.9195,0.7324,0.748,0.2713,1.235,0.6156,0.6196,1.0,0.4489,0.6196,0.4639,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,18,0.0139963626861572,0.4418,32801.4477,0.6838,0.7435,0.2548,1.235,0.6088,0.6128,1.0,0.4418,0.6128,0.4485,inf,20.0,pyc_xmeans,2d-4c_y.zip
10,2,0.0097780227661132,0.505,40085.4643,0.6647,0.7974,0.4426,1.235,0.7159,0.7177,1.0,0.5597,0.7177,0.6075,,,pyc_xmeans,2d-4c_y.zip
10,22,0.0183234214782714,0.434,29392.6692,0.6863,0.7375,0.2326,1.235,0.5914,0.5966,1.0,0.4251,0.5966,0.4272,,,pyc_xmeans,2d-4c_y.zip
10,22,0.0778696537017822,0.4282,27665.55,0.6907,0.7361,0.2274,1.235,0.5878,0.593,1.0,0.4214,0.593,0.4221,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,22,0.0219266414642334,0.4197,23782.5943,0.6761,0.7417,0.2481,1.235,0.5954,0.6006,1.0,0.4291,0.6006,0.4422,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,22,0.0477941036224365,0.453,28486.9058,0.64,0.7439,0.2564,1.235,0.6052,0.6095,1.0,0.4384,0.6095,0.4501,inf,20.0,pyc_xmeans,2d-4c_y.zip
10,2,0.0706021785736084,0.4817,40018.1046,0.6868,0.7911,0.4218,1.235,0.7086,0.7105,1.0,0.5509,0.7105,0.5912,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,2,0.0084259510040283,0.5425,43692.3496,0.6809,0.7906,0.4201,1.235,0.7093,0.7111,1.0,0.5517,0.7111,0.5899,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,2,0.0088787078857421,0.5361,38414.1963,0.7404,0.811,0.487,1.235,0.7278,0.7295,1.0,0.5742,0.7295,0.6415,inf,20.0,pyc_xmeans,2d-4c_y.zip
10,6,0.0095560550689697,0.4865,37759.5618,0.7528,0.7982,0.4453,1.235,0.7164,0.7182,1.0,0.5603,0.7182,0.6096,,,pyc_xmeans,2d-4c_y.zip
10,6,0.0090656280517578,0.5445,38663.0741,0.7187,0.8093,0.4813,1.235,0.7286,0.7303,1.0,0.5752,0.7303,0.6372,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
10,6,0.0086536407470703,0.4684,37197.9371,0.7213,0.8059,0.4705,1.235,0.7224,0.7241,1.0,0.5676,0.7241,0.6289,100.0,20.0,pyc_xmeans,2d-4c_y.zip
10,6,0.009272813796997,0.478,39448.8667,0.662,0.7985,0.4463,1.235,0.717,0.7188,1.0,0.561,0.7188,0.6103,inf,20.0,pyc_xmeans,2d-4c_y.zip
12,10,0.0089123249053955,0.483,40996.0639,0.6883,0.7787,0.3796,1.235,0.6811,0.6835,1.0,0.5192,0.6835,0.5574,,,pyc_xmeans,2d-4c_y.zip
12,10,0.0089478492736816,0.5376,41234.9777,0.7503,0.7818,0.3902,1.235,0.6836,0.6859,1.0,0.522,0.6859,0.566,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,10,0.0088365077972412,0.4854,39341.0147,0.7924,0.7831,0.3947,1.235,0.6854,0.6877,1.0,0.524,0.6877,0.5696,100.0,20.0,pyc_xmeans,2d-4c_y.zip
12,10,0.009415864944458,0.561,34988.0263,0.6925,0.8069,0.4738,1.235,0.7147,0.717,1.0,0.5588,0.717,0.6315,inf,20.0,pyc_xmeans,2d-4c_y.zip
12,14,0.0128202438354492,0.4947,41897.9063,0.7225,0.7751,0.3674,1.235,0.6639,0.6668,1.0,0.5002,0.6668,0.5474,,,pyc_xmeans,2d-4c_y.zip
12,14,0.0137374401092529,0.4878,42109.7642,0.7302,0.7734,0.3616,1.235,0.6624,0.6653,1.0,0.4984,0.6653,0.5426,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,14,0.0117890834808349,0.4444,38456.6551,0.7208,0.7646,0.3309,1.235,0.652,0.6549,1.0,0.4869,0.6549,0.5167,100.0,20.0,pyc_xmeans,2d-4c_y.zip
