eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,0.0310680866241455,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.1,10,cosine,auto,4,0.0287299156188964,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.1,10,euclidean,auto,4,0.0102691650390625,0.7676,27351.1607,2.2065,0.9953,0.9893,1.235,0.9871,0.9872,1.0,0.9746,0.9872,0.9927,skl_DBSCAN,2d-4c_y.zip
0.1,2,correlation,auto,4,0.030484914779663,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.1,2,cosine,auto,4,0.0345242023468017,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.1,2,euclidean,auto,4,0.0137755870819091,0.7764,27290.2726,2.5497,0.9977,0.9946,1.235,0.9926,0.9927,1.0,0.9854,0.9927,0.9963,skl_DBSCAN,2d-4c_y.zip
0.1,5,correlation,auto,4,0.0310719013214111,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.1,5,cosine,auto,4,0.0278933048248291,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.1,5,euclidean,auto,4,0.0121307373046875,0.7782,27250.1588,12.4739,0.9971,0.9933,1.235,0.9912,0.9912,1.0,0.9825,0.9912,0.9954,skl_DBSCAN,2d-4c_y.zip
0.25,10,correlation,auto,4,0.0353329181671142,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.25,10,cosine,auto,4,0.0273873805999755,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.25,10,euclidean,auto,4,0.0124404430389404,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_DBSCAN,2d-4c_y.zip
0.25,2,correlation,auto,4,0.0303833484649658,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.25,2,cosine,auto,4,0.0282397270202636,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.25,2,euclidean,auto,4,0.0112631320953369,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_DBSCAN,2d-4c_y.zip
0.25,5,correlation,auto,4,0.0347115993499755,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.25,5,cosine,auto,4,0.0233817100524902,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.25,5,euclidean,auto,4,0.0128073692321777,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_DBSCAN,2d-4c_y.zip
0.5,10,correlation,auto,4,0.0269997119903564,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.5,10,cosine,auto,4,0.0249278545379638,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.5,10,euclidean,auto,4,0.0120007991790771,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.5,2,correlation,auto,4,0.0276246070861816,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
0.5,2,cosine,auto,4,0.0301434993743896,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.5,2,euclidean,auto,4,0.0125675201416015,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,skl_DBSCAN,2d-4c_y.zip
0.5,5,correlation,auto,4,0.0309767723083496,0.4204,416.6515,1.5683,0.6728,0.3995,0.4957,0.5513,0.5519,0.4013,0.8831,0.5519,0.6911,skl_DBSCAN,2d-4c_y.zip
