n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,correlation,average,0.0173842906951904,-0.1011,139.7403,1.2093,0.6729,0.3988,0.4968,0.5478,0.5494,0.4023,0.866,0.5494,0.6899,skl_agglomerativeClust,2d-4c_y.zip
4,correlation,complete,0.0164690017700195,0.2806,141.0245,10.665,0.6768,0.3928,0.4973,0.4865,0.4884,0.4027,0.6204,0.4884,0.6755,skl_agglomerativeClust,2d-4c_y.zip
4,correlation,single,0.0115385055541992,-0.1398,139.3851,1.322,0.6729,0.3988,0.4968,0.5478,0.5494,0.4023,0.866,0.5494,0.6899,skl_agglomerativeClust,2d-4c_y.zip
4,cosine,average,0.0173280239105224,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
4,cosine,complete,0.017411470413208,0.6965,14318.3948,0.5179,0.9195,0.8099,1.086,0.8527,0.8531,0.8794,0.8284,0.8531,0.8689,skl_agglomerativeClust,2d-4c_y.zip
4,cosine,single,0.0085101127624511,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
4,euclidean,average,0.0158421993255615,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
4,euclidean,complete,0.0149955749511718,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
4,euclidean,single,0.0088317394256591,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
4,euclidean,ward,0.0193002223968505,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,2d-4c_y.zip
