n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0911893844604492,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1103980541229248,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0749638080596923,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0673792362213134,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0847005844116211,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0837123394012451,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0701777935028076,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0672948360443115,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0868968963623046,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0754289627075195,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0675954818725586,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.085557222366333,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.092616319656372,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0794744491577148,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.1112222671508789,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0700445175170898,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.087228775024414,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0700283050537109,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0706317424774169,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0699503421783447,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0853407382965087,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0691516399383544,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0745503902435302,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0676748752593994,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0849380493164062,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.074319839477539,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0772347450256347,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0793807506561279,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0858871936798095,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0699169635772705,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.08064866065979,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0713725090026855,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0885307788848877,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0795722007751464,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0906784534454345,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.083392858505249,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0913624763488769,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0652573108673095,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0645029544830322,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.092736005783081,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0790407657623291,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0713319778442382,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0614256858825683,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0841023921966552,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,inf,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0892643928527832,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,,,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0688521862030029,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,1000.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0696549415588378,0.5115,1456.7126,0.4919,0.8387,0.6111,1.0451,0.7468,0.7479,0.8462,0.67,0.7479,0.727,100.0,20.0,kmeans+dt,2d-4c_y.zip-12_True_k
