n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.726546049118042,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,,,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0553381443023681,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0254859924316406,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0551652908325195,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.9585118293762208,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,,,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0065991878509521,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0066161155700683,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0635435581207275,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0600605010986328,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,,,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0410418510437011,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0555965900421142,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0568439960479736,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0553381443023681,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0254859924316406,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0551652908325195,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0065991878509521,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0066161155700683,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0635435581207275,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0410418510437011,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,1000.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0555965900421142,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,100.0,20.0,skl_kmeans,2d-4c_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0568439960479736,0.7217,2837.7554,0.5264,0.8206,0.6414,0.6923,0.718,0.7184,0.5605,1.0,0.7184,0.801,inf,20.0,skl_kmeans,2d-4c_y.zip-2_k
