max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,31,30,50,1000.0,100.0,0.0,42,cos,jaccard,16.51855993270874,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,100.0,0.1,42,cos,jaccard,160.62997102737427,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,100.0,0.2,42,cos,jaccard,161.20694661140442,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,20.0,0.0,42,cos,jaccard,16.40271830558777,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,20.0,0.1,42,cos,jaccard,161.1150107383728,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,20.0,0.2,42,cos,jaccard,160.75937628746033,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,inf,0.0,42,cos,jaccard,0.6624946594238281,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,inf,0.1,42,cos,jaccard,0.5680007934570312,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,1000.0,inf,0.2,42,cos,jaccard,0.5914475917816162,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,100.0,0.0,42,cos,jaccard,0.0749614238739013,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,100.0,0.1,42,cos,jaccard,0.0740971565246582,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,100.0,0.2,42,cos,jaccard,0.0757465362548828,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,20.0,0.0,42,cos,jaccard,1.6859662532806396,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,20.0,0.1,42,cos,jaccard,15.99002456665039,-0.3196,24.7043,9.7165,0.1242,0.0016,0.1215,0.0478,0.0654,0.0354,0.4268,0.0654,0.174,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,20.0,0.2,42,cos,jaccard,15.981122016906738,-0.3196,24.7043,9.7165,0.1242,0.0016,0.1215,0.0478,0.0654,0.0354,0.4268,0.0654,0.174,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,inf,0.0,42,cos,jaccard,0.1544640064239502,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,inf,0.1,42,cos,jaccard,0.0751395225524902,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,100.0,inf,0.2,42,cos,jaccard,0.0782561302185058,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,100.0,0.0,42,cos,jaccard,42.7713303565979,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,100.0,0.1,42,cos,jaccard,428.6871716976166,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,100.0,0.2,42,cos,jaccard,429.9907550811768,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,20.0,0.0,42,cos,jaccard,43.014036893844604,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,20.0,0.1,42,cos,jaccard,429.61281967163086,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,20.0,0.2,42,cos,jaccard,428.52020144462585,-0.0607,2.0452,0.6727,0.038,0.0,0.0111,0.0,0.0064,0.0032,0.3819,0.0064,0.1782,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,inf,0.0,42,cos,jaccard,2.6620278358459477,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,inf,0.1,42,cos,jaccard,25.912498712539676,-0.5313,3.0676,4.4642,0.0548,0.0,0.0308,0.0025,0.0175,0.009,0.3269,0.0175,0.1766,CenterParTree2,2d-d31_y.zip
10,31,30,50,inf,inf,0.2,42,cos,jaccard,25.86017942428589,-0.5313,3.0676,4.4642,0.0548,0.0,0.0308,0.0025,0.0175,0.009,0.3269,0.0175,0.1766,CenterParTree2,2d-d31_y.zip
10,31,30,5,1000.0,100.0,0.0,42,cos,jaccard,16.35810160636902,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1787,CenterParTree2,2d-d31_y.zip
