max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,5.197806358337402,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,1000.0,100.0,0.1,5.252317190170288,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,1000.0,100.0,0.2,5.272152185440064,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,1000.0,20.0,0.0,5.241210460662842,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,1000.0,20.0,0.1,5.313488483428955,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,1000.0,20.0,0.2,5.299530982971191,0.3108,2587.534,1.0008,0.9133,0.3554,2.0105,0.703,0.7077,0.5855,0.8945,0.7077,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,100.0,20.0,0.0,0.5867393016815186,0.3113,2657.4139,0.9655,0.9134,0.3583,2.0201,0.7068,0.7115,0.5883,0.9,0.7115,0.4671,VarianceParTree,2d-d31_y.zip
10,10,30,50,100.0,20.0,0.1,0.5936167240142822,0.3113,2657.4139,0.9655,0.9134,0.3583,2.0201,0.7068,0.7115,0.5883,0.9,0.7115,0.4671,VarianceParTree,2d-d31_y.zip
10,10,30,50,100.0,20.0,0.2,0.6044580936431885,0.3113,2657.4139,0.9655,0.9134,0.3583,2.0201,0.7068,0.7115,0.5883,0.9,0.7115,0.4671,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,100.0,0.0,13.65959358215332,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,100.0,0.1,13.656098127365112,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,100.0,0.2,13.61094856262207,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,20.0,0.0,13.672813177108765,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,20.0,0.1,13.603228092193604,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
10,10,30,50,inf,20.0,0.2,13.555259227752686,0.3097,2586.9835,0.9993,0.9131,0.3551,2.0108,0.7034,0.7081,0.5855,0.8955,0.7081,0.4632,VarianceParTree,2d-d31_y.zip
