n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.4669752120971679,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,,,kmodes,2d-d31_y.zip
10,100,Cao,11,False,42,4,0.3565044403076172,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,1000.0,20.0,kmodes,2d-d31_y.zip
10,100,Cao,11,False,42,4,0.3482439517974853,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,100.0,20.0,kmodes,2d-d31_y.zip
10,100,Cao,11,False,42,4,0.350743293762207,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,inf,20.0,kmodes,2d-d31_y.zip
10,300,Cao,11,False,42,4,0.4912748336791992,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,,,kmodes,2d-d31_y.zip
10,300,Cao,11,False,42,4,0.3477973937988281,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,1000.0,20.0,kmodes,2d-d31_y.zip
10,300,Cao,11,False,42,4,0.3479447364807129,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,100.0,20.0,kmodes,2d-d31_y.zip
10,300,Cao,11,False,42,4,0.348503828048706,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,inf,20.0,kmodes,2d-d31_y.zip
10,500,Cao,11,False,42,4,0.4841148853302002,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,,,kmodes,2d-d31_y.zip
10,500,Cao,11,False,42,4,0.349269151687622,-0.4807,2.7473,5.6821,0.0595,0.0,0.033,0.0028,0.0186,0.0096,0.3004,0.0186,0.1761,1000.0,20.0,kmodes,2d-d31_y.zip
