n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
31,correlation,average,0.0897667407989502,-0.454,64.8517,13.7064,0.5476,0.0579,0.6715,0.2927,0.3129,0.1956,0.7818,0.3129,0.2361,skl_agglomerativeClust,2d-d31_y.zip
31,correlation,complete,0.0857715606689453,-0.1029,65.3145,55.8375,0.9307,0.0391,0.746,0.1846,0.2232,0.2173,0.2295,0.2232,0.0751,skl_agglomerativeClust,2d-d31_y.zip
31,correlation,single,0.0577423572540283,0.01,64.8654,1.0181,0.5363,0.0583,0.6514,0.2975,0.3099,0.1897,0.8461,0.3099,0.2398,skl_agglomerativeClust,2d-d31_y.zip
31,cosine,average,0.1025757789611816,0.123,1169.7822,2.4696,0.9658,0.5041,2.5787,0.7517,0.7634,0.7509,0.7763,0.7634,0.5246,skl_agglomerativeClust,2d-d31_y.zip
31,cosine,complete,0.1002931594848632,0.0983,1125.4241,2.5105,0.9627,0.4623,2.5191,0.7351,0.7477,0.7336,0.7623,0.7477,0.4844,skl_agglomerativeClust,2d-d31_y.zip
31,cosine,single,0.0449607372283935,-0.0871,743.2716,3.7819,0.907,0.3408,2.1365,0.7192,0.7304,0.6222,0.8843,0.7304,0.455,skl_agglomerativeClust,2d-d31_y.zip
31,euclidean,average,0.0980980396270752,0.5665,8844.8214,0.5566,0.9954,0.926,3.2712,0.9504,0.9527,0.9526,0.9528,0.9527,0.9284,skl_agglomerativeClust,2d-d31_y.zip
31,euclidean,complete,0.0925118923187255,0.5317,7802.604,0.5958,0.992,0.8727,3.2023,0.9307,0.9339,0.9325,0.9353,0.9339,0.8769,skl_agglomerativeClust,2d-d31_y.zip
31,euclidean,single,0.0405483245849609,-0.4473,165.317,2.1997,0.7539,0.1545,1.5194,0.5976,0.6071,0.4425,0.9667,0.6071,0.3332,skl_agglomerativeClust,2d-d31_y.zip
31,euclidean,ward,0.1106736660003662,0.5619,8709.9134,0.558,0.9948,0.9167,3.2624,0.9481,0.9505,0.95,0.9509,0.9505,0.9194,skl_agglomerativeClust,2d-d31_y.zip
