n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0912554264068603,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,,,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1066920757293701,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,1000.0,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0969369411468505,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,100.0,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0964665412902832,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,inf,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.092728853225708,0.4092,3530.701,0.8747,0.9375,0.4598,2.297,0.7777,0.7819,0.6689,0.9407,0.7819,0.5509,,,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.092987060546875,0.4092,3530.701,0.8747,0.9375,0.4598,2.297,0.7777,0.7819,0.6689,0.9407,0.7819,0.5509,1000.0,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.092350959777832,0.4092,3530.701,0.8747,0.9375,0.4598,2.297,0.7777,0.7819,0.6689,0.9407,0.7819,0.5509,100.0,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.0924010276794433,0.4092,3530.701,0.8747,0.9375,0.4598,2.297,0.7777,0.7819,0.6689,0.9407,0.7819,0.5509,inf,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1211731433868408,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,,,skl_bis_kmeans,2d-d31_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1208231449127197,0.4456,3737.8667,0.733,0.9358,0.4531,2.2878,0.7763,0.7805,0.6662,0.942,0.7805,0.5465,1000.0,20.0,skl_bis_kmeans,2d-d31_y.zip-12_k
