n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0380005836486816,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,,,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0361082553863525,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,1000.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0361742973327636,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,100.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0360517501831054,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,inf,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0379004478454589,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,,,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0358150005340576,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,1000.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0362241268157959,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,100.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0363743305206298,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,inf,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0376772880554199,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,,,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0361382961273193,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,1000.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0358719825744628,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,100.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.036428689956665,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,inf,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0411009788513183,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,,,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0366995334625244,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,1000.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0365481376647949,0.4019,3207.7571,0.8074,0.8773,0.2902,1.8022,0.6701,0.6737,0.5248,0.9405,0.6737,0.431,100.0,20.0,kmeans+dt,2d-d31_y.zip-8_True_k
