max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,3,5,1000,20,0.0,14.700217485427856,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,10,3,5,1000,20,0.1,14.343270063400269,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,10,3,5,1000,20,0.2,14.632746458053589,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,10,3,5,100,20,0.0,5.046996593475342,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,10,3,5,100,20,0.1,5.150526285171509,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,10,3,5,100,20,0.2,5.09615969657898,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,1000,20,0.0,6.602252960205078,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,1000,20,0.1,6.302042484283447,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,1000,20,0.2,6.56671667098999,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,100,20,0.0,2.3082640171051025,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,100,20,0.1,2.415870189666748,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,2,3,5,100,20,0.2,2.32167649269104,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,1000,20,0.0,14.728486776351929,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,1000,20,0.1,14.273968935012816,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,1000,20,0.2,14.674950122833252,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,100,20,0.0,4.951125860214233,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,100,20,0.1,5.217963457107544,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,4,3,5,100,20,0.2,5.054357767105103,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,1000,20,0.0,14.539180755615234,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,1000,20,0.1,14.272103548049929,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,1000,20,0.2,14.592233657836914,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,100,20,0.0,5.0201404094696045,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,100,20,0.1,5.094938278198242,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,6,3,5,100,20,0.2,5.101285457611084,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,1000,20,0.0,14.640453100204468,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,1000,20,0.1,14.07088565826416,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,1000,20,0.2,14.62915539741516,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,100,20,0.0,5.072475910186768,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,100,20,0.1,5.145635604858398,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
2,8,3,5,100,20,0.2,5.039889574050903,0.4455,4991.4494,1.5928,0.6417,0.0853,0.0239,0.0598,0.0599,0.0432,0.0975,0.0599,0.7789,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,1000,20,0.0,26.097764253616333,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,1000,20,0.1,25.727997303009037,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,1000,20,0.2,26.55308961868286,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,100,20,0.0,8.990581035614014,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,100,20,0.1,9.192378520965576,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,10,3,5,100,20,0.2,8.83121919631958,0.1436,3199.6209,2.0622,0.5042,-0.0125,0.0707,0.1016,0.1017,0.1281,0.0843,0.1017,0.5793,VarianceParTree,adultONEHOT_y.zip
3,2,3,5,1000,20,0.0,6.529155731201172,0.5118,6358.1173,0.8041,0.6362,0.0649,0.0087,0.0235,0.0235,0.0157,0.0468,0.0235,0.7776,VarianceParTree,adultONEHOT_y.zip
