amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,20,0.4458785057067871,0.2272,7894.6684,1.1521,0.4302,0.0427,0.0843,0.0643,0.0644,0.1528,0.0408,0.0644,0.3459,pyc_xmeans,adultONEHOT_y.zip
10,10,100.0,20,0.4645051956176758,0.2118,7876.1839,1.1463,0.416,0.0217,0.0795,0.0603,0.0604,0.144,0.0382,0.0604,0.3189,pyc_xmeans,adultONEHOT_y.zip
10,10,inf,20,0.4212346076965332,0.211,7132.0547,1.3617,0.4428,0.0586,0.0918,0.0719,0.072,0.1664,0.0459,0.072,0.3714,pyc_xmeans,adultONEHOT_y.zip
10,14,1000.0,20,0.4992306232452392,0.196,6115.6261,1.3582,0.4135,0.0242,0.085,0.0606,0.0608,0.154,0.0379,0.0608,0.3064,pyc_xmeans,adultONEHOT_y.zip
10,14,100.0,20,0.5529563426971436,0.2053,6949.2963,1.3261,0.4075,0.0241,0.0934,0.0629,0.0631,0.1692,0.0388,0.0631,0.2822,pyc_xmeans,adultONEHOT_y.zip
10,14,inf,20,0.4845359325408935,0.2172,6958.1626,1.1905,0.4032,0.0167,0.0864,0.058,0.0581,0.1565,0.0357,0.0581,0.2742,pyc_xmeans,adultONEHOT_y.zip
10,18,1000.0,20,0.5774977207183838,0.1993,6401.2502,1.2282,0.3956,0.017,0.0978,0.0596,0.0598,0.1772,0.036,0.0598,0.2388,pyc_xmeans,adultONEHOT_y.zip
10,18,100.0,20,0.6202630996704102,0.1963,6330.9273,1.2742,0.3955,0.0173,0.0996,0.0605,0.0607,0.1805,0.0365,0.0607,0.2377,pyc_xmeans,adultONEHOT_y.zip
10,18,inf,20,0.7007818222045898,0.2063,6316.6934,1.2795,0.4025,0.0239,0.1095,0.0681,0.0682,0.1984,0.0412,0.0682,0.2608,pyc_xmeans,adultONEHOT_y.zip
10,22,1000.0,20,0.7180871963500977,0.209,5978.5576,1.2402,0.392,0.0151,0.1106,0.0641,0.0643,0.2004,0.0383,0.0643,0.2237,pyc_xmeans,adultONEHOT_y.zip
10,22,100.0,20,0.6250011920928955,0.2224,5896.9524,1.1549,0.3942,0.018,0.1072,0.0621,0.0623,0.1941,0.0371,0.0623,0.2303,pyc_xmeans,adultONEHOT_y.zip
10,22,inf,20,0.6281933784484863,0.2136,5735.0553,1.2477,0.3909,0.0138,0.1123,0.0651,0.0653,0.2035,0.0389,0.0653,0.2202,pyc_xmeans,adultONEHOT_y.zip
10,2,1000.0,20,0.3435087203979492,0.2342,7815.6328,1.1704,0.4266,0.0345,0.0793,0.0609,0.061,0.1436,0.0388,0.061,0.3422,pyc_xmeans,adultONEHOT_y.zip
10,2,100.0,20,0.376988410949707,0.2289,7566.4883,1.2689,0.4297,0.0332,0.0797,0.0634,0.0635,0.1443,0.0407,0.0635,0.3543,pyc_xmeans,adultONEHOT_y.zip
10,2,inf,20,0.3957059383392334,0.2251,6866.79,1.4328,0.4383,0.0402,0.0769,0.0638,0.0639,0.1393,0.0415,0.0639,0.375,pyc_xmeans,adultONEHOT_y.zip
10,6,1000.0,20,0.4184644222259521,0.2324,7681.0223,1.2443,0.4291,0.0332,0.0787,0.0621,0.0622,0.1426,0.0398,0.0622,0.3521,pyc_xmeans,adultONEHOT_y.zip
10,6,100.0,20,0.3480038642883301,0.232,7682.6937,1.2467,0.4286,0.0327,0.0791,0.0624,0.0625,0.1433,0.0399,0.0625,0.3509,pyc_xmeans,adultONEHOT_y.zip
10,6,inf,20,0.3718535900115967,0.2034,6905.5361,1.3623,0.4376,0.0457,0.1003,0.0805,0.0806,0.1818,0.0518,0.0806,0.3673,pyc_xmeans,adultONEHOT_y.zip
12,10,1000.0,20,0.4212889671325683,0.2262,6921.8633,1.316,0.4279,0.0397,0.1,0.0743,0.0744,0.1812,0.0468,0.0744,0.3409,pyc_xmeans,adultONEHOT_y.zip
12,10,100.0,20,0.3657228946685791,0.2288,6351.1823,1.3068,0.4302,0.034,0.0806,0.0634,0.0635,0.1461,0.0406,0.0635,0.355,pyc_xmeans,adultONEHOT_y.zip
12,10,inf,20,0.4036207199096679,0.2216,6196.7181,1.2766,0.4263,0.0272,0.0859,0.0676,0.0677,0.1556,0.0433,0.0677,0.3491,pyc_xmeans,adultONEHOT_y.zip
12,14,1000.0,20,0.5081331729888916,0.2271,6579.631,1.2267,0.4178,0.0292,0.1005,0.0719,0.072,0.182,0.0449,0.072,0.3167,pyc_xmeans,adultONEHOT_y.zip
12,14,100.0,20,0.5445842742919922,0.2101,6936.4768,1.231,0.4063,0.0183,0.1044,0.0715,0.0716,0.189,0.0442,0.0716,0.2854,pyc_xmeans,adultONEHOT_y.zip
12,14,inf,20,0.5523602962493896,0.207,6681.437,1.2395,0.4074,0.0188,0.0871,0.0605,0.0607,0.1578,0.0375,0.0607,0.2889,pyc_xmeans,adultONEHOT_y.zip
12,18,1000.0,20,0.62333083152771,0.2032,5849.6567,1.3422,0.4003,0.0137,0.0917,0.0593,0.0595,0.1661,0.0362,0.0595,0.2659,pyc_xmeans,adultONEHOT_y.zip
12,18,100.0,20,0.8192203044891357,0.2113,6144.5058,1.2896,0.4048,0.0237,0.1095,0.0698,0.0699,0.1983,0.0424,0.0699,0.2716,pyc_xmeans,adultONEHOT_y.zip
12,18,inf,20,0.5445437431335449,0.21,6216.3057,1.3452,0.3997,0.0171,0.097,0.0613,0.0614,0.1757,0.0372,0.0614,0.258,pyc_xmeans,adultONEHOT_y.zip
12,22,1000.0,20,0.6538481712341309,0.2181,5906.2593,1.1881,0.3905,0.0138,0.1093,0.063,0.0632,0.1981,0.0376,0.0632,0.2182,pyc_xmeans,adultONEHOT_y.zip
12,22,100.0,20,0.7371814250946045,0.2128,5970.0463,1.2744,0.3953,0.0192,0.1123,0.0656,0.0657,0.2035,0.0392,0.0657,0.2339,pyc_xmeans,adultONEHOT_y.zip
12,22,inf,20,0.596522331237793,0.2115,5553.7539,1.3129,0.3924,0.0139,0.0987,0.0583,0.0585,0.1788,0.0349,0.0585,0.2279,pyc_xmeans,adultONEHOT_y.zip
12,2,1000.0,20,0.3921232223510742,0.2181,7026.9383,1.2886,0.4176,0.0235,0.0799,0.0591,0.0592,0.1448,0.0372,0.0592,0.3225,pyc_xmeans,adultONEHOT_y.zip
