n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,20,44.50691986083984,0.1131,4137.2766,1.4058,0.4164,0.0218,0.0807,0.061,0.0611,0.1462,0.0386,0.0611,0.3203,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,average,100.0,20,44.35988116264343,0.1131,4137.2766,1.4058,0.4164,0.0218,0.0807,0.061,0.0611,0.1462,0.0386,0.0611,0.3203,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,average,inf,20,44.293298959732056,0.1131,4137.2766,1.4058,0.4164,0.0218,0.0807,0.061,0.0611,0.1462,0.0386,0.0611,0.3203,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,complete,1000.0,20,40.527902126312256,0.0813,3013.271,1.871,0.4023,0.0046,0.0384,0.0281,0.0282,0.0695,0.0177,0.0282,0.2878,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,complete,100.0,20,40.67516660690308,0.0813,3013.271,1.871,0.4023,0.0046,0.0384,0.0281,0.0282,0.0695,0.0177,0.0282,0.2878,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,complete,inf,20,40.93896532058716,0.0813,3013.271,1.871,0.4023,0.0046,0.0384,0.0281,0.0282,0.0695,0.0177,0.0282,0.2878,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,single,1000.0,20,9.47852063179016,-0.334,704.8063,0.9852,0.6355,0.064,0.0085,0.0226,0.023,0.0155,0.0449,0.023,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,single,100.0,20,9.486175537109377,-0.334,704.8063,0.9852,0.6355,0.064,0.0085,0.0226,0.023,0.0155,0.0449,0.023,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
10,correlation,single,inf,20,9.489362955093384,-0.334,704.8063,0.9852,0.6355,0.064,0.0085,0.0226,0.023,0.0155,0.0449,0.023,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
10,cosine,average,1000.0,20,48.17160534858704,-0.0432,4064.1756,1.4098,0.4182,0.0276,0.0931,0.0704,0.0705,0.1686,0.0446,0.0705,0.32,skl_agglomerativeClust,adultONEHOT_y.zip
10,cosine,average,100.0,20,48.22043657302856,-0.0432,4064.1756,1.4098,0.4182,0.0276,0.0931,0.0704,0.0705,0.1686,0.0446,0.0705,0.32,skl_agglomerativeClust,adultONEHOT_y.zip
10,cosine,average,inf,20,48.17813730239868,-0.0432,4064.1756,1.4098,0.4182,0.0276,0.0931,0.0704,0.0705,0.1686,0.0446,0.0705,0.32,skl_agglomerativeClust,adultONEHOT_y.zip
10,cosine,complete,1000.0,20,40.68054485321045,0.014,1919.801,1.9131,0.4066,0.0156,0.0614,0.0443,0.0444,0.1112,0.0277,0.0444,0.2901,skl_agglomerativeClust,adultONEHOT_y.zip
