n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,1.286616325378418,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,1.3333790302276611,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.271202802658081,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.2240736484527588,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,1.3681972026824951,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,1.4417362213134766,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,1.3011102676391602,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,1.2880020141601562,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,1.2199079990386963,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,1.286616325378418,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,1.3333790302276611,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.271202802658081,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.2240736484527588,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,1.3681972026824951,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,1.4417362213134766,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,1.3011102676391602,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,1.2880020141601562,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,1.2199079990386963,0.2404,8199.4719,1.0453,0.4216,0.027,0.0803,0.0617,0.0618,0.1456,0.0392,0.0618,0.3331,skl_kmeans,adultONEHOT_y.zip-10_k
