n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.4343044757843018,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,2.8727729320526123,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.197575330734253,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.2169926166534424,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.231269836425781,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.5201780796051025,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.3386683464050293,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,3.143169403076172,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.26663875579834,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.259354829788208,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.259518384933472,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.1953914165496826,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.209233045578003,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,3.125262260437012,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.256631135940552,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.00276517868042,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.4439055919647217,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.309893846511841,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.4343044757843018,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,2.8727729320526123,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.197575330734253,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.2169926166534424,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.231269836425781,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.5201780796051025,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.3386683464050293,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,3.143169403076172,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.26663875579834,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.259354829788208,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.259518384933472,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.1953914165496826,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,3.209233045578003,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,3.125262260437012,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,3.256631135940552,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,3.00276517868042,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,3.4439055919647217,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,3.309893846511841,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y.zip-4_k
