max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,3.490240335464477,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.0,42,gini,r2,3.666820287704468,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.0,42,me,mape,3.6725380420684814,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.0,42,me,r2,3.5097246170043945,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.1,42,gini,mape,3.4854073524475098,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.1,42,gini,r2,3.6910817623138423,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.1,42,me,mape,3.509743452072144,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,50,20,20,0.1,42,me,r2,3.6332507133483887,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.0,42,gini,mape,3.4797494411468506,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.0,42,gini,r2,3.537189722061157,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.0,42,me,mape,3.448638200759888,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.0,42,me,r2,3.7516276836395264,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.1,42,gini,mape,3.468949794769287,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.1,42,gini,r2,3.667736053466797,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.1,42,me,mape,3.5208842754364014,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,30,5,20,20,0.1,42,me,r2,3.705063581466675,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.0,42,gini,mape,3.661649703979492,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.0,42,gini,r2,3.664513349533081,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.0,42,me,mape,3.662180423736572,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.0,42,me,r2,3.722103357315064,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.1,42,gini,mape,3.6672396659851074,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.1,42,gini,r2,3.703814268112183,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.1,42,me,mape,3.521491289138794,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,50,20,20,0.1,42,me,r2,3.6386568546295166,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.0,42,gini,mape,3.722465991973877,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.0,42,gini,r2,3.599262237548828,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.0,42,me,mape,3.753917694091797,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.0,42,me,r2,3.6490464210510254,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.1,42,gini,mape,3.6651690006256095,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.1,42,gini,r2,3.8286478519439697,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.1,42,me,mape,3.7909436225891113,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,10,3,5,20,20,0.1,42,me,r2,3.620046854019165,-0.0567,255.8662,6.0564,0.5254,-0.0519,0.0185,0.0313,0.0314,0.0336,0.0295,0.0314,0.6397,ImpurityParTree2,adult_y.zip
2,12,30,50,20,20,0.0,42,gini,mape,3.5225131511688232,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,12,30,50,20,20,0.0,42,gini,r2,3.4585447311401367,-0.1216,270.2036,5.4933,0.5241,-0.0512,0.0168,0.0272,0.0273,0.0305,0.0247,0.0273,0.637,ImpurityParTree2,adult_y.zip
2,12,30,50,20,20,0.0,42,me,mape,3.483827590942383,-0.0715,247.1278,6.9183,0.5096,-0.0602,0.0214,0.0341,0.0342,0.0387,0.0307,0.0342,0.6151,ImpurityParTree2,adult_y.zip
