max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,4.501032829284668,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,30,50,20,20,0.1,4.5751776695251465,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,30,5,20,20,0.0,4.5527119636535645,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,30,5,20,20,0.1,4.539052963256836,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,3,50,20,20,0.0,4.609431266784668,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,3,50,20,20,0.1,4.511558771133423,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,3,5,1000,100,0.0,52.10746788978577,0.1996,11066.8439,1.1882,0.5425,-0.0401,0.0042,0.0074,0.0074,0.0076,0.0073,0.0074,0.6646,VarianceParTree,adult_y.zip
2,10,3,5,1000,100,0.1,51.93886399269104,0.1996,11066.8439,1.1882,0.5425,-0.0401,0.0042,0.0074,0.0074,0.0076,0.0073,0.0074,0.6646,VarianceParTree,adult_y.zip
2,10,3,5,1000,20,0.0,52.29369115829468,0.2346,14811.1633,1.1429,0.5517,-0.0401,0.0043,0.0077,0.0078,0.0077,0.0079,0.0078,0.6803,VarianceParTree,adult_y.zip
2,10,3,5,1000,20,0.1,52.36440849304199,0.2346,14811.1633,1.1429,0.5517,-0.0401,0.0043,0.0077,0.0078,0.0077,0.0079,0.0078,0.6803,VarianceParTree,adult_y.zip
2,10,3,5,20,20,0.0,4.616447448730469,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,10,3,5,20,20,0.1,4.569952011108398,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,30,50,20,20,0.0,4.473982095718384,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,30,50,20,20,0.1,4.601280212402344,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,30,5,20,20,0.0,4.457703351974487,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,30,5,20,20,0.1,4.559309482574463,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,3,50,20,20,0.0,4.613059520721436,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,3,50,20,20,0.1,4.543368339538574,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,3,5,20,20,0.0,4.541329622268677,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,12,3,5,20,20,0.1,4.497877597808838,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,2,30,50,20,20,0.0,2.3545076847076416,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,30,50,20,20,0.1,2.431703805923462,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,30,5,20,20,0.0,2.3690555095672607,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,30,5,20,20,0.1,2.3767192363739014,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,3,50,20,20,0.0,2.355539560317993,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,3,50,20,20,0.1,2.3846094608306885,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,3,5,1000,100,0.0,18.24131989479065,0.5857,23214.2727,0.9128,0.577,-0.0174,0.0006,0.0014,0.0014,0.0011,0.0018,0.0014,0.7133,VarianceParTree,adult_y.zip
2,2,3,5,1000,100,0.1,19.31025505065918,0.5857,23214.2727,0.9128,0.577,-0.0174,0.0006,0.0014,0.0014,0.0011,0.0018,0.0014,0.7133,VarianceParTree,adult_y.zip
2,2,3,5,1000,20,0.0,19.596799612045288,0.6489,29701.8582,0.7025,0.5883,-0.0147,0.0005,0.0011,0.0011,0.0008,0.0017,0.0011,0.7307,VarianceParTree,adult_y.zip
2,2,3,5,1000,20,0.1,19.332499980926517,0.6489,29701.8582,0.7025,0.5883,-0.0147,0.0005,0.0011,0.0011,0.0008,0.0017,0.0011,0.7307,VarianceParTree,adult_y.zip
2,2,3,5,20,20,0.0,2.399267196655273,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,2,3,5,20,20,0.1,2.398416757583618,0.5926,24199.1134,0.8851,0.5784,-0.0162,0.0005,0.0012,0.0012,0.001,0.0016,0.0012,0.7151,VarianceParTree,adult_y.zip
2,4,30,50,20,20,0.0,4.571428298950195,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,30,50,20,20,0.1,4.608533382415772,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,30,5,20,20,0.0,4.636040925979614,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,30,5,20,20,0.1,4.555860280990601,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,3,50,20,20,0.0,4.539605617523193,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,3,50,20,20,0.1,4.5169782638549805,0.103,9633.336,1.9616,0.5444,-0.039,0.004,0.0072,0.0073,0.0073,0.0074,0.0073,0.6675,VarianceParTree,adult_y.zip
2,4,3,5,1000,100,0.0,49.115638971328735,0.1996,11066.8439,1.1882,0.5425,-0.0401,0.0042,0.0074,0.0074,0.0076,0.0073,0.0074,0.6646,VarianceParTree,adult_y.zip
2,4,3,5,1000,100,0.1,46.09378671646118,0.1996,11066.8439,1.1882,0.5425,-0.0401,0.0042,0.0074,0.0074,0.0076,0.0073,0.0074,0.6646,VarianceParTree,adult_y.zip
