n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,100,Cao,11,False,42,4,1000.0,100,38.242595911026,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,100,Cao,11,False,42,4,1000.0,20,37.79071879386902,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,100,Cao,11,False,42,4,20.0,20,40.4266881942749,-0.0269,216.1008,9.9003,0.4261,-0.0011,0.0451,0.038,0.0381,0.0817,0.0249,0.0381,0.379,kmodes,adult_y.zip
10,100,Cao,11,False,42,4,inf,100,38.23982501029968,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,100,Cao,11,False,42,4,inf,20,39.70595455169678,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,300,Cao,11,False,42,4,1000.0,100,38.306984186172485,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,300,Cao,11,False,42,4,1000.0,20,38.00318312644959,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,300,Cao,11,False,42,4,20.0,20,42.67777705192566,-0.0269,216.1008,9.9003,0.4261,-0.0011,0.0451,0.038,0.0381,0.0817,0.0249,0.0381,0.379,kmodes,adult_y.zip
10,300,Cao,11,False,42,4,inf,100,38.47438883781433,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,300,Cao,11,False,42,4,inf,20,39.76892328262329,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,500,Cao,11,False,42,4,1000.0,100,38.541982889175415,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,500,Cao,11,False,42,4,1000.0,20,37.97436165809631,-0.0427,178.9555,7.8177,0.4098,-0.0454,0.0732,0.064,0.0641,0.1326,0.0422,0.0641,0.3742,kmodes,adult_y.zip
10,500,Cao,11,False,42,4,20.0,20,40.694918394088745,-0.0269,216.1008,9.9003,0.4261,-0.0011,0.0451,0.038,0.0381,0.0817,0.0249,0.0381,0.379,kmodes,adult_y.zip
