amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,100,0.4902260303497314,0.2392,13213.0924,1.4519,0.4231,-0.0189,0.015,0.0134,0.0135,0.0272,0.009,0.0135,0.3877,pyc_xmeans,adult_y.zip
10,10,1000.0,20,0.5865788459777832,0.2105,14251.5788,1.4483,0.4066,-0.0073,0.0243,0.0193,0.0194,0.044,0.0125,0.0194,0.3201,pyc_xmeans,adult_y.zip
10,10,100.0,100,0.5222830772399902,0.2498,13342.8464,1.3557,0.4201,-0.0141,0.0288,0.0251,0.0252,0.0521,0.0166,0.0252,0.3735,pyc_xmeans,adult_y.zip
10,10,100.0,20,0.5497643947601318,0.1843,13677.5558,1.4455,0.4104,0.0002,0.0307,0.0244,0.0245,0.0556,0.0157,0.0245,0.3249,pyc_xmeans,adult_y.zip
10,10,20.0,20,0.6772441864013672,0.2968,12229.6414,1.218,0.4418,-0.0217,0.0223,0.0225,0.0226,0.0404,0.0157,0.0226,0.4427,pyc_xmeans,adult_y.zip
10,10,inf,100,0.5693275928497314,0.2229,13845.4367,1.4354,0.4142,-0.0135,0.0179,0.0151,0.0152,0.0324,0.01,0.0152,0.3541,pyc_xmeans,adult_y.zip
10,10,inf,20,0.5737855434417725,0.2059,14169.9272,1.3918,0.4022,-0.0105,0.0454,0.0353,0.0354,0.0823,0.0226,0.0354,0.3078,pyc_xmeans,adult_y.zip
10,14,1000.0,100,0.7483551502227783,0.2134,11455.2076,1.452,0.4004,-0.0132,0.031,0.0232,0.0234,0.0562,0.0147,0.0234,0.3049,pyc_xmeans,adult_y.zip
10,14,1000.0,20,0.6053614616394043,0.2005,11995.7459,1.4562,0.3969,-0.0044,0.0479,0.034,0.0342,0.0868,0.0213,0.0342,0.2784,pyc_xmeans,adult_y.zip
10,14,100.0,100,0.7321751117706299,0.2055,11313.9374,1.5652,0.3996,-0.0111,0.0268,0.0196,0.0198,0.0485,0.0124,0.0198,0.2987,pyc_xmeans,adult_y.zip
10,14,100.0,20,0.8172931671142578,0.1935,11864.7723,1.5548,0.3928,-0.0062,0.0421,0.0289,0.0291,0.0763,0.018,0.0291,0.2632,pyc_xmeans,adult_y.zip
10,14,20.0,20,0.7130439281463623,0.1839,11180.9326,1.5192,0.3967,-0.0052,0.0427,0.0305,0.0306,0.0773,0.0191,0.0306,0.2784,pyc_xmeans,adult_y.zip
10,14,inf,100,0.7531173229217529,0.1801,11363.1142,1.5001,0.4023,-0.0022,0.029,0.0213,0.0214,0.0526,0.0135,0.0214,0.2972,pyc_xmeans,adult_y.zip
10,14,inf,20,0.7587196826934814,0.1963,11412.7153,1.5003,0.3976,-0.0003,0.0478,0.0335,0.0336,0.0865,0.0209,0.0336,0.275,pyc_xmeans,adult_y.zip
10,18,1000.0,100,0.8064045906066895,0.184,9368.1923,1.5357,0.3972,-0.0044,0.0436,0.0305,0.0307,0.0791,0.019,0.0307,0.2796,pyc_xmeans,adult_y.zip
10,18,1000.0,20,0.8884022235870361,0.2044,9398.6089,1.4811,0.3997,-0.0123,0.0306,0.0223,0.0225,0.0554,0.0141,0.0225,0.3007,pyc_xmeans,adult_y.zip
10,18,100.0,100,0.7227623462677002,0.1691,9985.1831,1.6719,0.3878,-0.0011,0.0348,0.0219,0.0221,0.0631,0.0134,0.0221,0.2307,pyc_xmeans,adult_y.zip
