n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,100,50.06948757171631,0.6512,1752.2594,0.9744,0.6216,0.0033,0.0007,0.0016,0.002,0.0013,0.0052,0.002,0.7762,skl_agglomerativeClust,adult_y.zip
10,correlation,average,1000.0,20,50.0872654914856,0.6512,1752.2594,0.9744,0.6216,0.0033,0.0007,0.0016,0.002,0.0013,0.0052,0.002,0.7762,skl_agglomerativeClust,adult_y.zip
10,correlation,average,20.0,20,50.600818157196045,0.6722,3213.0877,1.0851,0.6102,-0.0013,0.0006,0.0013,0.0017,0.0012,0.0032,0.0017,0.7603,skl_agglomerativeClust,adult_y.zip
10,correlation,average,inf,100,50.68051910400391,0.6512,1752.2594,0.9744,0.6216,0.0033,0.0007,0.0016,0.002,0.0013,0.0052,0.002,0.7762,skl_agglomerativeClust,adult_y.zip
10,correlation,average,inf,20,50.07899022102356,0.6512,1752.2594,0.9744,0.6216,0.0033,0.0007,0.0016,0.002,0.0013,0.0052,0.002,0.7762,skl_agglomerativeClust,adult_y.zip
10,correlation,complete,1000.0,100,47.75537443161011,0.6316,3181.2335,1.3944,0.6106,-0.0015,0.0011,0.0023,0.0026,0.0019,0.0043,0.0026,0.761,skl_agglomerativeClust,adult_y.zip
10,correlation,complete,1000.0,20,47.72853875160217,0.6316,3181.2335,1.3944,0.6106,-0.0015,0.0011,0.0023,0.0026,0.0019,0.0043,0.0026,0.761,skl_agglomerativeClust,adult_y.zip
10,correlation,complete,20.0,20,48.27287268638611,0.6349,3430.8346,1.3247,0.6084,-0.002,0.0014,0.0032,0.0035,0.0026,0.0054,0.0035,0.7578,skl_agglomerativeClust,adult_y.zip
10,correlation,complete,inf,100,47.7160792350769,0.6316,3181.2335,1.3944,0.6106,-0.0015,0.0011,0.0023,0.0026,0.0019,0.0043,0.0026,0.761,skl_agglomerativeClust,adult_y.zip
10,correlation,complete,inf,20,47.63329792022705,0.6316,3181.2335,1.3944,0.6106,-0.0015,0.0011,0.0023,0.0026,0.0019,0.0043,0.0026,0.761,skl_agglomerativeClust,adult_y.zip
10,correlation,single,1000.0,100,10.584264516830444,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,correlation,single,1000.0,20,10.583985328674316,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,correlation,single,20.0,20,10.759599924087524,0.6375,28.1601,0.4458,0.6344,0.0009,0.0005,0.0013,0.0018,0.0009,0.0862,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,correlation,single,inf,100,10.56826376914978,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,correlation,single,inf,20,10.60832405090332,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,average,1000.0,100,50.04848957061768,0.6723,3242.8346,1.1585,0.6105,-0.0005,0.0015,0.0036,0.004,0.0028,0.0071,0.004,0.7605,skl_agglomerativeClust,adult_y.zip
10,cosine,average,1000.0,20,50.23271179199219,0.6723,3242.8346,1.1585,0.6105,-0.0005,0.0015,0.0036,0.004,0.0028,0.0071,0.004,0.7605,skl_agglomerativeClust,adult_y.zip
10,cosine,average,20.0,20,50.37000489234924,0.6742,3222.3153,1.1214,0.6103,-0.0011,0.0008,0.0017,0.0021,0.0015,0.0039,0.0021,0.7603,skl_agglomerativeClust,adult_y.zip
10,cosine,average,inf,100,50.20010471343994,0.6723,3242.8346,1.1585,0.6105,-0.0005,0.0015,0.0036,0.004,0.0028,0.0071,0.004,0.7605,skl_agglomerativeClust,adult_y.zip
10,cosine,average,inf,20,49.97543907165527,0.6723,3242.8346,1.1585,0.6105,-0.0005,0.0015,0.0036,0.004,0.0028,0.0071,0.004,0.7605,skl_agglomerativeClust,adult_y.zip
10,cosine,complete,1000.0,100,47.44228148460388,0.6302,3320.8904,1.2204,0.6105,-0.0003,0.0007,0.0014,0.0017,0.0013,0.0028,0.0017,0.7604,skl_agglomerativeClust,adult_y.zip
10,cosine,complete,1000.0,20,47.58087515830994,0.6302,3320.8904,1.2204,0.6105,-0.0003,0.0007,0.0014,0.0017,0.0013,0.0028,0.0017,0.7604,skl_agglomerativeClust,adult_y.zip
10,cosine,complete,20.0,20,48.01554703712464,0.6348,3299.9068,1.1736,0.6101,-0.0014,0.0014,0.0032,0.0035,0.0026,0.0058,0.0035,0.7601,skl_agglomerativeClust,adult_y.zip
10,cosine,complete,inf,100,47.510488986968994,0.6302,3320.8904,1.2204,0.6105,-0.0003,0.0007,0.0014,0.0017,0.0013,0.0028,0.0017,0.7604,skl_agglomerativeClust,adult_y.zip
10,cosine,complete,inf,20,47.78034400939941,0.6302,3320.8904,1.2204,0.6105,-0.0003,0.0007,0.0014,0.0017,0.0013,0.0028,0.0017,0.7604,skl_agglomerativeClust,adult_y.zip
10,cosine,single,1000.0,100,10.554170846939089,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,1000.0,20,10.585126876831056,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,20.0,20,10.783649921417236,0.6372,14.4204,0.2693,0.6341,-0.0002,0.0001,-0.0001,0.0004,0.0002,0.0347,0.0004,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,inf,100,10.613356113433838,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,cosine,single,inf,20,10.569483757019045,0.6464,26.8675,0.3164,0.6344,0.001,0.0005,0.0013,0.0018,0.0009,0.0894,0.0018,0.7962,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,1000.0,100,50.245033740997314,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,1000.0,20,50.08206057548523,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,20.0,20,50.87161374092102,0.2807,4603.9246,0.9286,0.5826,-0.0027,0.0079,0.0159,0.0162,0.0143,0.0187,0.0162,0.7168,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,inf,100,50.464051246643066,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,average,inf,20,50.45138502120972,0.3266,4606.0054,0.9094,0.5831,-0.0026,0.0079,0.0159,0.0163,0.0143,0.0189,0.0163,0.7176,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,1000.0,100,47.103780031204224,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,1000.0,20,47.05130910873413,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,20.0,20,46.91311311721802,0.3024,6799.7423,1.4579,0.515,-0.0535,0.0239,0.0344,0.0346,0.0433,0.0288,0.0346,0.6216,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,inf,100,47.13018012046814,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,complete,inf,20,46.99981760978699,0.2669,6903.5214,1.4035,0.5162,-0.0565,0.0235,0.0337,0.0339,0.0425,0.0281,0.0339,0.6253,skl_agglomerativeClust,adult_y.zip
10,euclidean,single,1000.0,100,12.174561500549316,0.2667,46.8757,0.7218,0.6394,0.0209,0.007,0.0234,0.0239,0.0127,0.2077,0.0239,0.7974,skl_agglomerativeClust,adult_y.zip
