n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,1.517282247543335,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.6171317100524902,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,1.4083938598632812,0.0435,1671.9698,2.1745,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.46984601020813,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,1.57399582862854,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,1.548827886581421,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,1.5787532329559326,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.4924819469451904,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,1.4931423664093018,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.4249255657196045,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,100,1.6286187171936035,0.0435,1671.9698,2.1745,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.5673058032989502,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,100,1.517730951309204,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,20,1.2400636672973633,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,100,1.6282010078430176,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.584300518035889,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,100,1.5666837692260742,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.4402003288269043,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,100,1.5143749713897705,0.0435,1671.9698,2.1745,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.5096032619476318,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,100,1.4692213535308838,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,20,1.2650201320648191,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,100,1.6099369525909424,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.3943016529083252,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,100,1.6930062770843506,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.414689540863037,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,100,1.650590419769287,0.0435,1671.9698,2.1745,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.4029223918914795,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,100,1.5323948860168457,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,20,1.608440637588501,0.0849,2397.11,1.9259,0.429,0.0004,0.0304,0.0271,0.0272,0.055,0.018,0.0272,0.3862,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,100,1.382265567779541,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.6558279991149902,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,1.4885971546173096,0.0435,1672.0618,2.1743,0.4233,-0.0018,0.0328,0.0292,0.0293,0.0594,0.0194,0.0293,0.3709,kmeans+dt,adult_y.zip-10_True_k
