n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,1.463181734085083,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,1.3307442665100098,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,1.4331645965576172,0.2714,20399.7669,1.175,0.4271,-0.0199,0.015,0.0146,0.0146,0.0271,0.01,0.0146,0.4007,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,1.4498019218444824,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.4649615287780762,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,1.301238775253296,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.4450297355651855,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,1.2368192672729492,0.2714,20399.7669,1.175,0.4271,-0.0199,0.015,0.0146,0.0146,0.0271,0.01,0.0146,0.4007,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,1.2076356410980225,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,1.264134407043457,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,1.236591339111328,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,1.3946521282196045,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,1.325232744216919,0.2714,20399.7669,1.175,0.4271,-0.0199,0.015,0.0146,0.0146,0.0271,0.01,0.0146,0.4007,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,1.2505443096160889,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,1.4710397720336914,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,skl_kmeans,adult_y.zip-6_k
