min_nr_instances,min_y,min_rd,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,1,10,2.2545650005340576,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,1,15,2.2561659812927246,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,1,20,2.326210021972656,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,1,25,2.265465021133423,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,1,30,2.2623937129974365,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,1,5,2.255877494812012,-0.3802,30.9235,2.9099,0.6026,0.1585,0.7187,0.4418,0.4627,0.4241,0.509,0.4627,0.4322,CLTree,aggregation_y.zip
2,2,10,2.264758825302124,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,2,15,2.252843141555786,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,2,20,2.3193747997283936,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,2,25,2.2634971141815186,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,2,30,2.268183708190918,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,2,5,2.2723135948181152,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,10,2.2537519931793213,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,15,2.312156438827514,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,20,2.2618067264556885,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,25,2.2755014896392822,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,30,2.2624166011810303,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,3,5,2.264658212661743,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,10,2.263444662094116,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,15,2.33240270614624,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,20,2.2632617950439453,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,25,2.2602860927581787,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,30,2.262737989425659,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,4,5,2.2658376693725586,-0.1071,76.4671,1.8755,0.5067,0.1655,0.505,0.4174,0.4234,0.298,0.7314,0.4234,0.5076,CLTree,aggregation_y.zip
2,5,10,2.26607346534729,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
2,5,15,2.3183605670928955,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
2,5,20,2.2648205757141118,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
2,5,25,2.2608609199523926,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
2,5,30,2.271406650543213,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
2,5,5,2.273646116256714,0.0171,68.3573,1.373,0.3666,0.0574,0.1979,0.1907,0.1938,0.1168,0.5697,0.1938,0.4633,CLTree,aggregation_y.zip
