n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.1271400451660156,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,,,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0949738025665283,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0940577983856201,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,100.0,20.0,kmodes,aggregation_y.zip
10,100,Cao,11,False,42,4,0.0960478782653808,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,inf,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.1238257884979248,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,,,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0944228172302246,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0937089920043945,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,100.0,20.0,kmodes,aggregation_y.zip
10,300,Cao,11,False,42,4,0.0936095714569091,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,inf,20.0,kmodes,aggregation_y.zip
10,500,Cao,11,False,42,4,0.1314830780029297,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,,,kmodes,aggregation_y.zip
10,500,Cao,11,False,42,4,0.1000392436981201,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
