amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,0.0078678131103515,0.4587,1300.4748,0.7618,0.8849,0.5904,1.59,0.8069,0.8105,0.9382,0.7134,0.8105,0.6855,pyc_xmeans,aggregation_y.zip
10,14,0.009392499923706,0.4576,1471.4314,0.7229,0.8719,0.5203,1.6784,0.8076,0.8117,0.9903,0.6877,0.8117,0.6389,pyc_xmeans,aggregation_y.zip
10,18,0.0108022689819335,0.4548,1483.7982,0.725,0.873,0.5265,1.6692,0.8049,0.8091,0.9849,0.6865,0.8091,0.6431,pyc_xmeans,aggregation_y.zip
10,2,0.0056073665618896,0.4283,1217.7278,0.7866,0.8874,0.6086,1.5376,0.7879,0.7918,0.9073,0.7025,0.7918,0.6959,pyc_xmeans,aggregation_y.zip
10,22,0.0092504024505615,0.4554,1484.8057,0.7198,0.8727,0.525,1.6667,0.8035,0.8077,0.9835,0.6852,0.8077,0.6418,pyc_xmeans,aggregation_y.zip
10,6,0.0072107315063476,0.4473,1404.3551,0.7727,0.8792,0.5647,1.5919,0.8019,0.8055,0.9393,0.7051,0.8055,0.666,pyc_xmeans,aggregation_y.zip
12,10,0.0064122676849365,0.4245,1408.3521,0.7932,0.8605,0.4801,1.5795,0.7601,0.7653,0.932,0.6492,0.7653,0.5986,pyc_xmeans,aggregation_y.zip
12,14,0.0098564624786376,0.4534,1521.3472,0.72,0.8632,0.4793,1.6692,0.7853,0.7903,0.9849,0.6599,0.7903,0.607,pyc_xmeans,aggregation_y.zip
12,18,0.013373851776123,0.4395,1641.7296,0.7553,0.8556,0.4406,1.6741,0.7709,0.7766,0.9878,0.6398,0.7766,0.5773,pyc_xmeans,aggregation_y.zip
12,2,0.0069830417633056,0.4231,1418.6848,0.8146,0.8637,0.4922,1.5892,0.7644,0.7695,0.9377,0.6524,0.7695,0.6101,pyc_xmeans,aggregation_y.zip
12,22,0.0097959041595458,0.4537,1517.1734,0.7178,0.8646,0.4851,1.6823,0.7924,0.7972,0.9927,0.6661,0.7972,0.6122,pyc_xmeans,aggregation_y.zip
12,6,0.0058534145355224,0.434,1301.9741,0.7949,0.8655,0.5031,1.582,0.7664,0.7715,0.9334,0.6574,0.7715,0.6174,pyc_xmeans,aggregation_y.zip
2,10,0.0074541568756103,0.5366,1215.3972,0.5553,0.9086,0.7622,1.2202,0.8141,0.8155,0.72,0.9403,0.8155,0.8318,pyc_xmeans,aggregation_y.zip
2,14,0.0089287757873535,0.4899,938.6209,0.6488,0.9114,0.7558,1.3618,0.8371,0.8391,0.8036,0.8779,0.8391,0.8165,pyc_xmeans,aggregation_y.zip
2,18,0.0076313018798828,0.5319,1214.9152,0.5693,0.9029,0.7458,1.2006,0.7986,0.8002,0.7084,0.9193,0.8002,0.818,pyc_xmeans,aggregation_y.zip
2,2,0.0121576786041259,0.4175,532.3162,1.0307,0.6629,0.3629,0.61,0.5209,0.5225,0.3599,0.9528,0.5225,0.6234,pyc_xmeans,aggregation_y.zip
2,22,0.0092847347259521,0.4942,938.7824,0.6424,0.916,0.7699,1.3775,0.8487,0.8505,0.8128,0.8919,0.8505,0.8282,pyc_xmeans,aggregation_y.zip
2,6,0.0086846351623535,0.4948,938.852,0.6416,0.9161,0.77,1.3775,0.8487,0.8506,0.8128,0.8921,0.8506,0.8283,pyc_xmeans,aggregation_y.zip
4,10,0.006434679031372,0.5311,1214.6405,0.5722,0.9019,0.7431,1.1979,0.7964,0.798,0.7068,0.9163,0.798,0.8158,pyc_xmeans,aggregation_y.zip
4,14,0.009700059890747,0.4948,938.852,0.6416,0.9161,0.77,1.3775,0.8487,0.8506,0.8128,0.8921,0.8506,0.8283,pyc_xmeans,aggregation_y.zip
4,18,0.0096383094787597,0.4903,938.5924,0.6485,0.9114,0.7559,1.3618,0.8371,0.8391,0.8035,0.878,0.8391,0.8165,pyc_xmeans,aggregation_y.zip
4,2,0.0060901641845703,0.5288,1213.9681,0.5802,0.8992,0.7351,1.1903,0.7903,0.7919,0.7023,0.9077,0.7919,0.8091,pyc_xmeans,aggregation_y.zip
4,22,0.0069770812988281,0.5311,1214.6405,0.5722,0.9019,0.7431,1.1979,0.7964,0.798,0.7068,0.9163,0.798,0.8158,pyc_xmeans,aggregation_y.zip
4,6,0.0139548778533935,0.4942,938.7824,0.6424,0.916,0.7699,1.3775,0.8487,0.8505,0.8128,0.8919,0.8505,0.8282,pyc_xmeans,aggregation_y.zip
6,10,0.0102205276489257,0.4638,1203.3814,0.7468,0.9204,0.7482,1.5008,0.8504,0.8524,0.8855,0.8218,0.8524,0.8014,pyc_xmeans,aggregation_y.zip
6,14,0.0127673149108886,0.4467,1229.1352,0.7895,0.8997,0.6698,1.5095,0.8205,0.8232,0.8907,0.7652,0.8232,0.7399,pyc_xmeans,aggregation_y.zip
6,18,0.0080468654632568,0.4626,1203.4574,0.7543,0.9203,0.7479,1.4944,0.8462,0.8483,0.8818,0.8173,0.8483,0.8012,pyc_xmeans,aggregation_y.zip
6,2,0.0057876110076904,0.4594,1093.5979,0.7,0.933,0.8038,1.4304,0.8559,0.8576,0.844,0.8716,0.8576,0.8467,pyc_xmeans,aggregation_y.zip
6,22,0.0090639591217041,0.4632,1203.5375,0.7506,0.9203,0.748,1.4972,0.8481,0.8502,0.8835,0.8193,0.8502,0.8013,pyc_xmeans,aggregation_y.zip
6,6,0.007641315460205,0.4833,1306.275,0.7081,0.9419,0.8217,1.5036,0.8828,0.8842,0.8872,0.8812,0.8842,0.8595,pyc_xmeans,aggregation_y.zip
7,7,0.0079009532928466,0.4598,1278.5943,0.7734,0.9105,0.7121,1.4928,0.8375,0.8396,0.8809,0.8021,0.8396,0.773,pyc_xmeans,aggregation_y.zip
8,10,0.0087065696716308,0.4475,1404.8401,0.7755,0.8753,0.5495,1.58,0.7944,0.7982,0.9323,0.6978,0.7982,0.6531,pyc_xmeans,aggregation_y.zip
8,14,0.0129504203796386,0.4334,1295.7744,0.8019,0.8741,0.5562,1.5318,0.7919,0.7953,0.9039,0.7101,0.7953,0.6528,pyc_xmeans,aggregation_y.zip
8,18,0.0089123249053955,0.4595,1464.8175,0.7242,0.8797,0.5581,1.6568,0.8162,0.8199,0.9776,0.706,0.8199,0.6666,pyc_xmeans,aggregation_y.zip
8,2,0.0055944919586181,0.4463,1227.7109,0.7903,0.8985,0.6656,1.5077,0.8194,0.8221,0.8896,0.7641,0.8221,0.7365,pyc_xmeans,aggregation_y.zip
8,22,0.0102360248565673,0.4597,1463.0507,0.7223,0.8804,0.5613,1.6667,0.8216,0.8252,0.9834,0.7108,0.8252,0.6693,pyc_xmeans,aggregation_y.zip
8,6,0.0481791496276855,0.4523,1160.6052,0.7656,0.9033,0.6849,1.4961,0.8197,0.8224,0.8828,0.7698,0.8224,0.7515,pyc_xmeans,aggregation_y.zip
