eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.0150132179260253,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,,,skl_DBSCAN,aggregation_y.zip
0.1,10,correlation,auto,4,0.0130231380462646,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,1000.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,correlation,auto,4,0.0131053924560546,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,100.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,correlation,auto,4,0.0158874988555908,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,inf,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,cosine,auto,4,0.0160937309265136,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,,,skl_DBSCAN,aggregation_y.zip
0.1,10,cosine,auto,4,0.0105342864990234,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,1000.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,cosine,auto,4,0.0169305801391601,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,100.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,cosine,auto,4,0.0108017921447753,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,inf,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,euclidean,auto,4,0.0096228122711181,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,,,skl_DBSCAN,aggregation_y.zip
0.1,10,euclidean,auto,4,0.0064077377319335,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,1000.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,euclidean,auto,4,0.0041241645812988,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,100.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,10,euclidean,auto,4,0.0036442279815673,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,inf,20.0,skl_DBSCAN,aggregation_y.zip
0.1,2,correlation,auto,4,0.0132586956024169,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,,,skl_DBSCAN,aggregation_y.zip
0.1,2,correlation,auto,4,0.0133447647094726,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,1000.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,2,correlation,auto,4,0.0133442878723144,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,100.0,20.0,skl_DBSCAN,aggregation_y.zip
0.1,2,correlation,auto,4,0.0134739875793457,0.3385,390.6555,1.2653,0.6289,0.2673,0.4251,0.3558,0.3579,0.2509,0.6242,0.3579,0.5362,inf,20.0,skl_DBSCAN,aggregation_y.zip
0.1,2,cosine,auto,4,0.0157527923583984,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,,,skl_DBSCAN,aggregation_y.zip
0.1,2,cosine,auto,4,0.0107970237731933,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4653,1000.0,20.0,skl_DBSCAN,aggregation_y.zip
