n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0770800113677978,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,,,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0690360069274902,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.07045578956604,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0652835369110107,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0739398002624511,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,,,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0805132389068603,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.104346752166748,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0676422119140625,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.082212209701538,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,,,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0095231533050537,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0094499588012695,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0094251632690429,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0690360069274902,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.07045578956604,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.0652835369110107,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0805132389068603,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.104346752166748,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.0676422119140625,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0095231533050537,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,1000.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0094499588012695,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,100.0,20.0,skl_kmeans,aggregation_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.0094251632690429,0.4333,579.5826,1.0586,0.7083,0.4214,0.6776,0.5681,0.5695,0.3998,0.9891,0.5695,0.652,inf,20.0,skl_kmeans,aggregation_y.zip-2_k
