max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,10,30,50,20,20,0.0,42,1,False,0,9.731523990631104,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.0,42,1,False,1,9.369650840759276,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.0,42,1,False,2,9.601213455200195,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.0,42,2,False,0,9.939118146896362,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.0,42,2,False,1,10.40347695350647,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.0,42,2,False,2,10.317232608795166,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,1,False,0,9.546801567077637,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,1,False,1,9.622397184371948,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,1,False,2,9.506652116775513,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,2,False,0,9.98744010925293,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,2,False,1,9.9765727519989,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,50,20,20,0.1,42,2,False,2,10.159231901168823,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,1,False,0,9.558876991271973,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,1,False,1,9.347640752792358,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,1,False,2,9.294270277023315,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,2,False,0,10.400004625320436,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,2,False,1,9.98016095161438,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.0,42,2,False,2,9.906319856643677,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,1,False,0,9.76827597618103,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,1,False,1,9.367937564849854,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,1,False,2,9.506205797195436,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,2,False,0,10.084308385849,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,2,False,1,9.903890371322632,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,30,5,20,20,0.1,42,2,False,2,10.189761400222778,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,1,False,0,9.384155750274658,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,1,False,1,9.394428968429564,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,1,False,2,9.54592490196228,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,2,False,0,9.97100567817688,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,2,False,1,10.169800519943236,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.0,42,2,False,2,9.914631366729736,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,1,False,0,9.480483293533323,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,1,False,1,9.522592067718506,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,1,False,2,9.763678073883057,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,2,False,0,10.145314693450928,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,2,False,1,10.219998359680176,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,50,20,20,0.1,42,2,False,2,10.32895016670227,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,1,False,0,9.80406928062439,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,1,False,1,9.35618805885315,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,1,False,2,9.758103847503662,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,2,False,0,9.891210317611694,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,2,False,1,10.212939500808716,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.0,42,2,False,2,10.13386845588684,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,1,False,0,9.385647296905518,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,1,False,1,9.58756709098816,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,1,False,2,9.477501392364502,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,2,False,0,10.034667253494264,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,2,False,1,9.970685958862305,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,10,3,5,20,20,0.1,42,2,False,2,10.0245099067688,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,1,False,0,9.811212301254272,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,1,False,1,9.381039142608644,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,1,False,2,9.732886791229248,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,2,False,0,10.083836317062378,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,2,False,1,10.416991710662842,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.0,42,2,False,2,10.209841251373293,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.1,42,1,False,0,9.770992279052734,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.1,42,1,False,1,9.534068822860718,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.1,42,1,False,2,9.647465705871582,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,50,20,20,0.1,42,2,False,0,9.886728048324583,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
