amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,20,0.0525596141815185,0.0619,156.7694,2.4154,0.2994,0.0011,0.0137,0.0091,0.0101,0.0331,0.006,0.0101,0.2765,pyc_xmeans,churnONEHOT_y.zip
10,10,100.0,20,0.0555801391601562,0.0698,158.7543,2.2007,0.3062,0.0065,0.0361,0.026,0.027,0.0873,0.016,0.027,0.2913,pyc_xmeans,churnONEHOT_y.zip
10,10,inf,20,0.0527646541595459,0.0592,154.6856,2.4764,0.3041,0.0076,0.0382,0.0272,0.0282,0.0924,0.0166,0.0282,0.2851,pyc_xmeans,churnONEHOT_y.zip
10,14,1000.0,20,0.0491440296173095,0.0685,158.8945,2.2543,0.3071,0.009,0.0437,0.0316,0.0325,0.1056,0.0192,0.0325,0.2922,pyc_xmeans,churnONEHOT_y.zip
10,14,100.0,20,0.1267154216766357,0.0639,156.4169,2.372,0.3032,0.0055,0.0371,0.0265,0.0275,0.0897,0.0162,0.0275,0.2839,pyc_xmeans,churnONEHOT_y.zip
10,14,inf,20,0.0566902160644531,0.0679,158.7985,2.2538,0.3053,0.0064,0.0364,0.0261,0.0271,0.0881,0.016,0.0271,0.289,pyc_xmeans,churnONEHOT_y.zip
10,18,1000.0,20,0.048569917678833,0.0624,156.5653,2.3801,0.3016,0.0025,0.0196,0.0135,0.0145,0.0474,0.0086,0.0145,0.2814,pyc_xmeans,churnONEHOT_y.zip
10,18,100.0,20,0.0525267124176025,0.0676,159.364,2.2107,0.3018,0.0022,0.0165,0.0113,0.0123,0.0399,0.0072,0.0123,0.2822,pyc_xmeans,churnONEHOT_y.zip
10,18,inf,20,0.0523576736450195,0.0713,149.0404,2.1436,0.3156,0.0115,0.0508,0.0384,0.0394,0.1227,0.0235,0.0394,0.3119,pyc_xmeans,churnONEHOT_y.zip
10,22,1000.0,20,0.1210660934448242,0.0672,159.4657,2.2879,0.3054,0.0089,0.0423,0.0303,0.0313,0.1023,0.0185,0.0313,0.2878,pyc_xmeans,churnONEHOT_y.zip
10,22,100.0,20,0.048729658126831,0.0651,158.1519,2.2602,0.3051,0.0085,0.0451,0.0324,0.0334,0.1091,0.0197,0.0334,0.2872,pyc_xmeans,churnONEHOT_y.zip
10,22,inf,20,0.0478515625,0.0632,156.929,2.3866,0.3004,0.0005,0.0116,0.0076,0.0086,0.0281,0.0051,0.0086,0.2795,pyc_xmeans,churnONEHOT_y.zip
10,2,1000.0,20,0.0471112728118896,0.0663,158.5766,2.2508,0.3054,0.0087,0.0456,0.0328,0.0337,0.1102,0.0199,0.0337,0.2878,pyc_xmeans,churnONEHOT_y.zip
10,2,100.0,20,0.0577068328857421,0.0666,160.7269,2.2647,0.3038,0.0077,0.0422,0.0301,0.0311,0.1019,0.0183,0.0311,0.2843,pyc_xmeans,churnONEHOT_y.zip
10,2,inf,20,0.1073765754699707,0.0637,155.7697,2.4044,0.3013,0.0035,0.0282,0.0198,0.0208,0.068,0.0123,0.0208,0.28,pyc_xmeans,churnONEHOT_y.zip
10,6,1000.0,20,0.0392751693725585,0.0674,158.4058,2.2249,0.3014,0.0019,0.0166,0.0113,0.0123,0.0401,0.0073,0.0123,0.2813,pyc_xmeans,churnONEHOT_y.zip
10,6,100.0,20,0.1060099601745605,0.0682,157.5912,2.219,0.3041,0.0046,0.0263,0.0186,0.0196,0.0636,0.0116,0.0196,0.2867,pyc_xmeans,churnONEHOT_y.zip
10,6,inf,20,0.0553874969482421,0.066,159.6197,2.2504,0.3005,0.0014,0.016,0.0108,0.0118,0.0386,0.007,0.0118,0.2792,pyc_xmeans,churnONEHOT_y.zip
12,10,1000.0,20,0.0522868633270263,0.0635,142.2787,2.3272,0.2928,0.0035,0.0299,0.0196,0.0207,0.0723,0.0121,0.0207,0.2566,pyc_xmeans,churnONEHOT_y.zip
12,10,100.0,20,0.0450549125671386,0.0654,142.7314,2.3918,0.2927,0.0037,0.0313,0.0205,0.0216,0.0756,0.0126,0.0216,0.2562,pyc_xmeans,churnONEHOT_y.zip
12,10,inf,20,0.0420775413513183,0.0613,141.8889,2.354,0.2938,0.0041,0.0277,0.0181,0.0192,0.0669,0.0112,0.0192,0.2591,pyc_xmeans,churnONEHOT_y.zip
12,14,1000.0,20,0.0691084861755371,0.0661,145.0952,2.2667,0.2966,0.0073,0.0523,0.0353,0.0364,0.1265,0.0212,0.0364,0.2649,pyc_xmeans,churnONEHOT_y.zip
