n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,20,0.2109308242797851,0.0179,104.6914,2.662,0.314,0.0039,0.0211,0.0153,0.0163,0.0509,0.0097,0.0163,0.3119,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,average,100.0,20,0.2109277248382568,0.0179,104.6914,2.662,0.314,0.0039,0.0211,0.0153,0.0163,0.0509,0.0097,0.0163,0.3119,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,average,inf,20,0.2114064693450927,0.0179,104.6914,2.662,0.314,0.0039,0.0211,0.0153,0.0163,0.0509,0.0097,0.0163,0.3119,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,complete,1000.0,20,0.210052490234375,-0.0091,68.1697,3.9232,0.3067,-0.0034,0.0126,0.0086,0.0096,0.0304,0.0057,0.0096,0.2981,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,complete,100.0,20,0.2026212215423584,-0.0091,68.1697,3.9232,0.3067,-0.0034,0.0126,0.0086,0.0096,0.0304,0.0057,0.0096,0.2981,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,complete,inf,20,0.2016804218292236,-0.0091,68.1697,3.9232,0.3067,-0.0034,0.0126,0.0086,0.0096,0.0304,0.0057,0.0096,0.2981,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,single,1000.0,20,0.0988132953643798,-0.2923,0.9338,1.2089,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,single,100.0,20,0.0977027416229248,-0.2923,0.9338,1.2089,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,correlation,single,inf,20,0.097764253616333,-0.2923,0.9338,1.2089,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,average,1000.0,20,0.2091505527496338,0.012,100.4193,2.6747,0.3182,0.0049,0.0136,0.0096,0.0107,0.0329,0.0064,0.0107,0.3213,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,average,100.0,20,0.2096486091613769,0.012,100.4193,2.6747,0.3182,0.0049,0.0136,0.0096,0.0107,0.0329,0.0064,0.0107,0.3213,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,average,inf,20,0.2070786952972412,0.012,100.4193,2.6747,0.3182,0.0049,0.0136,0.0096,0.0107,0.0329,0.0064,0.0107,0.3213,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,complete,1000.0,20,0.1998128890991211,0.0016,83.9992,3.461,0.3039,0.0011,0.0075,0.0046,0.0057,0.0182,0.0033,0.0057,0.2884,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,complete,100.0,20,0.1997773647308349,0.0016,83.9992,3.461,0.3039,0.0011,0.0075,0.0046,0.0057,0.0182,0.0033,0.0057,0.2884,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,complete,inf,20,0.2014162540435791,0.0016,83.9992,3.461,0.3039,0.0011,0.0075,0.0046,0.0057,0.0182,0.0033,0.0057,0.2884,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,single,1000.0,20,0.0970122814178466,-0.2269,1.2321,0.9967,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,single,100.0,20,0.0967926979064941,-0.2269,1.2321,0.9967,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,cosine,single,inf,20,0.097071886062622,-0.2269,1.2321,0.9967,0.75,0.0024,0.0015,0.0017,0.0068,0.0036,0.0605,0.0068,0.8652,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,average,1000.0,20,0.2542381286621094,0.0966,6.7238,1.1617,0.7466,0.0148,0.0034,0.0086,0.0142,0.0083,0.0484,0.0142,0.8614,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,average,100.0,20,0.2544639110565185,0.0966,6.7238,1.1617,0.7466,0.0148,0.0034,0.0086,0.0142,0.0083,0.0484,0.0142,0.8614,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,average,inf,20,0.2535595893859863,0.0966,6.7238,1.1617,0.7466,0.0148,0.0034,0.0086,0.0142,0.0083,0.0484,0.0142,0.8614,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,complete,1000.0,20,0.2389130592346191,0.0,62.25,3.5941,0.3538,0.0209,0.0259,0.0213,0.0225,0.0625,0.0137,0.0225,0.3892,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,complete,100.0,20,0.2390854358673095,0.0,62.25,3.5941,0.3538,0.0209,0.0259,0.0213,0.0225,0.0625,0.0137,0.0225,0.3892,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,complete,inf,20,0.2364833354949951,0.0,62.25,3.5941,0.3538,0.0209,0.0259,0.0213,0.0225,0.0625,0.0137,0.0225,0.3892,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,single,1000.0,20,0.1385238170623779,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,single,100.0,20,0.1383001804351806,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,single,inf,20,0.1382408142089843,0.1098,3.5151,0.6014,0.7521,0.012,0.0027,0.0072,0.0123,0.0066,0.1011,0.0123,0.8664,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,1000.0,20,0.2422852516174316,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,100.0,20,0.2430257797241211,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
10,euclidean,ward,inf,20,0.2449700832366943,0.0239,105.5584,2.7963,0.3065,0.0009,0.0195,0.0138,0.0148,0.0472,0.0088,0.0148,0.2951,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,1000.0,20,0.2107303142547607,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,100.0,20,0.2101330757141113,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,average,inf,20,0.2098937034606933,0.0229,95.9892,2.7928,0.3018,-0.0013,0.0219,0.0147,0.0159,0.0529,0.0094,0.0159,0.2843,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,1000.0,20,0.2015929222106933,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,100.0,20,0.2014901638031005,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,complete,inf,20,0.2012460231781005,-0.0124,65.1017,3.7315,0.2988,-0.0062,0.0135,0.0085,0.0097,0.0326,0.0057,0.0097,0.2795,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,single,1000.0,20,0.096982717514038,-0.3024,0.9051,1.192,0.7491,0.0014,0.0016,0.001,0.0071,0.0038,0.0526,0.0071,0.8646,skl_agglomerativeClust,churnONEHOT_y.zip
12,correlation,single,100.0,20,0.0986437797546386,-0.3024,0.9051,1.192,0.7491,0.0014,0.0016,0.001,0.0071,0.0038,0.0526,0.0071,0.8646,skl_agglomerativeClust,churnONEHOT_y.zip
