threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,20,0.4599051475524902,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,10,100.0,20,0.461871862411499,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,10,inf,20,0.4597194194793701,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,12,1000.0,20,0.4666147232055664,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,12,100.0,20,0.4589765071868896,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,12,inf,20,0.4602844715118408,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,2,1000.0,20,0.4639356136322021,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,2,100.0,20,0.4654490947723388,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,2,inf,20,0.4586925506591797,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,4,1000.0,20,0.466386079788208,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
0.5,50,4,100.0,20,0.4626715183258056,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
0.5,50,4,inf,20,0.4616034030914306,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
0.5,50,6,1000.0,20,0.4618635177612304,0.0311,128.0993,3.0017,0.3547,0.0144,0.0184,0.0167,0.0174,0.0446,0.0108,0.0174,0.3934,skl_birch,churnONEHOT_y.zip
0.5,50,6,100.0,20,0.4644448757171631,0.0311,128.0993,3.0017,0.3547,0.0144,0.0184,0.0167,0.0174,0.0446,0.0108,0.0174,0.3934,skl_birch,churnONEHOT_y.zip
0.5,50,6,inf,20,0.4627566337585449,0.0311,128.0993,3.0017,0.3547,0.0144,0.0184,0.0167,0.0174,0.0446,0.0108,0.0174,0.3934,skl_birch,churnONEHOT_y.zip
0.5,50,8,1000.0,20,0.4619317054748535,0.0093,114.3188,2.9781,0.3198,0.0063,0.019,0.0146,0.0155,0.0459,0.0093,0.0155,0.3244,skl_birch,churnONEHOT_y.zip
0.5,50,8,100.0,20,0.523709774017334,0.0093,114.3188,2.9781,0.3198,0.0063,0.019,0.0146,0.0155,0.0459,0.0093,0.0155,0.3244,skl_birch,churnONEHOT_y.zip
0.5,50,8,inf,20,0.4628567695617676,0.0093,114.3188,2.9781,0.3198,0.0063,0.019,0.0146,0.0155,0.0459,0.0093,0.0155,0.3244,skl_birch,churnONEHOT_y.zip
0.5,50,10,1000.0,20,0.4599051475524902,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,10,100.0,20,0.461871862411499,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,10,inf,20,0.4597194194793701,0.0117,102.9439,2.8079,0.3115,0.0061,0.0239,0.0172,0.0182,0.0577,0.0108,0.0182,0.3048,skl_birch,churnONEHOT_y.zip
0.5,50,12,1000.0,20,0.4666147232055664,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,12,100.0,20,0.4589765071868896,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,12,inf,20,0.4602844715118408,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y.zip
0.5,50,2,1000.0,20,0.4639356136322021,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,2,100.0,20,0.4654490947723388,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,2,inf,20,0.4586925506591797,0.0446,147.0615,4.5754,0.5032,-0.0061,0.001,0.0015,0.0018,0.0023,0.0014,0.0018,0.6183,skl_birch,churnONEHOT_y.zip
0.5,50,4,1000.0,20,0.466386079788208,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
0.5,50,4,100.0,20,0.4626715183258056,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
0.5,50,4,inf,20,0.4616034030914306,0.033,140.5004,3.6502,0.3766,-0.0033,0.0043,0.0043,0.0048,0.0103,0.0031,0.0048,0.4393,skl_birch,churnONEHOT_y.zip
