n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,6.498636722564697,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,6.32204794883728,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,6.362963914871216,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,6.259401321411133,0.0444,155.6454,2.9646,0.3126,0.0023,0.0137,0.0102,0.011,0.0331,0.0066,0.011,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,6.834198951721191,0.0444,155.6454,2.9646,0.3126,0.0023,0.0137,0.0102,0.011,0.0331,0.0066,0.011,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,6.6111602783203125,0.0444,155.6454,2.9646,0.3126,0.0023,0.0137,0.0102,0.011,0.0331,0.0066,0.011,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,6.637425661087036,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,5.80333423614502,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,6.99712347984314,0.0447,155.653,2.9706,0.3126,0.0023,0.0142,0.0105,0.0114,0.0342,0.0068,0.0114,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,6.50905179977417,0.0444,155.6454,2.9646,0.3126,0.0023,0.0137,0.0102,0.011,0.0331,0.0066,0.011,0.3094,skl_bis_kmeans,churnONEHOT_y.zip-8_k
