n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.998643159866333,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.6962234973907471,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.7669188976287842,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.0085597038269043,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.6869659423828125,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.7840278148651123,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.8707354068756104,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.5823509693145752,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,0.7727630138397217,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.0489130020141602,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,100,0.9535534381866456,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0059401988983154,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,100,1.0441641807556152,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,20,0.8779022693634033,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,100,1.0640530586242676,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.9869318008422852,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,100,1.0310630798339844,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,0.717618465423584,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,100,1.0084962844848633,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.779120683670044,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,100,1.052379131317139,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,20,1.0046186447143557,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,100,1.0292222499847412,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.9351625442504884,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,100,0.982985258102417,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.0833523273468018,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,100,0.8470461368560791,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.899893045425415,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,100,0.8114204406738281,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,20,0.838651180267334,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,100,1.003215789794922,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.0796687602996826,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,1.1761651039123535,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.1922130584716797,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.8217840194702148,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.0456323623657229,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.8344128131866455,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.7561266422271729,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.9053361415863036,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.7829387187957764,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,0.7889947891235352,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.1907272338867188,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,100,1.1208760738372805,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0824663639068604,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,100,0.8400704860687256,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,20,0.7938344478607178,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,100,1.0155737400054932,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.1819076538085938,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,100,1.0525312423706057,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,0.8240907192230225,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,100,0.9450833797454834,0.2086,4773.5337,1.5834,0.32,0.0017,0.0013,0.0002,0.0011,0.0031,0.0006,0.0011,0.3271,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.9414310455322266,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,100,0.7740507125854492,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,20,0.9866213798522948,0.1811,4636.6411,1.6342,0.3225,0.0019,0.0025,0.0012,0.002,0.006,0.0012,0.002,0.3325,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,100,0.9390084743499756,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.8037080764770508,0.2708,4212.7464,1.5554,0.3664,-0.0012,0.0017,0.0009,0.0017,0.004,0.001,0.0017,0.4209,kmeans+dt,churn_y.zip-12_True_k
