max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,3,5,1000,20,0.0,42,cos,jaccard,638.874790430069,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,10,3,5,1000,20,0.1,42,cos,jaccard,629.9210078716278,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,10,3,5,1000,20,0.2,42,cos,jaccard,633.5481543540955,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,10,3,5,100,20,0.0,42,cos,jaccard,84.55910015106201,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,10,3,5,100,20,0.1,42,cos,jaccard,84.25943803787231,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,10,3,5,100,20,0.2,42,cos,jaccard,84.56699824333191,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,1000,20,0.0,42,cos,jaccard,210.44957160949707,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,1000,20,0.1,42,cos,jaccard,211.94345259666443,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,1000,20,0.2,42,cos,jaccard,209.94083261489868,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,100,20,0.0,42,cos,jaccard,26.056889533996586,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,100,20,0.1,42,cos,jaccard,25.90838122367859,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,2,3,5,100,20,0.2,42,cos,jaccard,26.120058059692383,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,1000,20,0.0,42,cos,jaccard,627.8526775836945,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,1000,20,0.1,42,cos,jaccard,627.4855899810791,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,1000,20,0.2,42,cos,jaccard,634.6562349796295,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,100,20,0.0,42,cos,jaccard,84.66286969184875,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,100,20,0.1,42,cos,jaccard,84.31257462501526,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,4,3,5,100,20,0.2,42,cos,jaccard,84.31679081916809,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,6,3,5,1000,20,0.0,42,cos,jaccard,631.5155596733093,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,6,3,5,1000,20,0.1,42,cos,jaccard,632.0101592540741,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,6,3,5,1000,20,0.2,42,cos,jaccard,629.6666784286499,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,6,3,5,100,20,0.0,42,cos,jaccard,84.75740504264832,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
2,6,3,5,100,20,0.1,42,cos,jaccard,85.32052898406982,0.0231,447.3841,3.0102,0.788,0.5774,0.5748,0.6024,0.6025,0.8351,0.4713,0.6025,0.7629,CenterParTree2,compas-scores-two-yearsONEHOT_y.zip
