threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,20,1.304919958114624,0.1923,506.3259,1.767,0.6411,0.2856,0.3062,0.2672,0.2676,0.4449,0.1914,0.2676,0.559,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,10,100.0,20,1.2566134929656982,0.1923,506.3259,1.767,0.6411,0.2856,0.3062,0.2672,0.2676,0.4449,0.1914,0.2676,0.559,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,10,inf,20,1.251551866531372,0.1923,506.3259,1.767,0.6411,0.2856,0.3062,0.2672,0.2676,0.4449,0.1914,0.2676,0.559,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,12,1000.0,20,1.244147777557373,0.1913,483.5743,1.7369,0.6365,0.2766,0.3137,0.259,0.2594,0.4558,0.1813,0.2594,0.5466,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,12,100.0,20,1.2420661449432373,0.1913,483.5743,1.7369,0.6365,0.2766,0.3137,0.259,0.2594,0.4558,0.1813,0.2594,0.5466,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,12,inf,20,1.2520673274993896,0.1913,483.5743,1.7369,0.6365,0.2766,0.3137,0.259,0.2594,0.4558,0.1813,0.2594,0.5466,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,2,1000.0,20,1.2531945705413818,0.2218,1361.705,1.7945,0.5406,0.0795,0.0369,0.0574,0.0575,0.0536,0.0622,0.0575,0.585,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,2,100.0,20,1.288309097290039,0.2218,1361.705,1.7945,0.5406,0.0795,0.0369,0.0574,0.0575,0.0536,0.0622,0.0575,0.585,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,2,inf,20,1.2618110179901123,0.2218,1361.705,1.7945,0.5406,0.0795,0.0369,0.0574,0.0575,0.0536,0.0622,0.0575,0.585,skl_birch,compas-scores-two-yearsONEHOT_y.zip
0.5,50,4,1000.0,20,1.2529597282409668,0.193,736.2897,1.8383,0.5666,0.1336,0.1113,0.1381,0.1383,0.1617,0.1208,0.1383,0.5594,skl_birch,compas-scores-two-yearsONEHOT_y.zip
