n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.9074244499206544,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,1.1037819385528564,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.9684560298919678,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,1.2125771045684814,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,1.0911376476287842,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.8230724334716797,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.7640275955200195,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,1.1736245155334473,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.8281974792480469,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.8915026187896729,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.8473150730133057,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.9559102058410645,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.7548496723175049,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.9631824493408204,0.24,1493.1499,1.7769,0.5446,0.0877,0.0409,0.0631,0.0632,0.0594,0.0676,0.0632,0.5839,skl_bis_kmeans,compas-scores-two-yearsONEHOT_y.zip-2_k
