max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,cos,jaccard,768.2877097129822,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,10,30,50,20,20,0.1,42,cos,jaccard,770.9514472484589,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,10,30,5,20,20,0.0,42,cos,jaccard,774.8326749801636,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,10,30,5,20,20,0.1,42,cos,jaccard,772.167717218399,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,10,3,50,20,20,0.0,42,cos,jaccard,771.8162853717804,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,10,3,50,20,20,0.1,42,cos,jaccard,772.0604441165924,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,10,3,5,20,20,0.0,42,cos,jaccard,771.6592571735382,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,10,3,5,20,20,0.1,42,cos,jaccard,770.3533906936646,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,12,30,50,20,20,0.0,42,cos,jaccard,767.4724946022034,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,12,30,50,20,20,0.1,42,cos,jaccard,765.8403835296631,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,12,30,5,20,20,0.0,42,cos,jaccard,774.284569978714,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,12,30,5,20,20,0.1,42,cos,jaccard,765.9382321834564,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,12,3,50,20,20,0.0,42,cos,jaccard,781.8987197875977,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,12,3,50,20,20,0.1,42,cos,jaccard,767.3892998695374,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,12,3,5,20,20,0.0,42,cos,jaccard,770.5331871509552,0.016,499.301,11.7558,0.5154,0.0337,0.0257,0.0288,0.029,0.0373,0.0237,0.029,0.4372,CenterParTree2,compas-scores-two-years_y.zip
2,12,3,5,20,20,0.1,42,cos,jaccard,779.7676560878754,-0.002,386.0747,10.0047,0.5194,0.0424,0.0838,0.0849,0.0851,0.1217,0.0655,0.0851,0.4163,CenterParTree2,compas-scores-two-years_y.zip
2,2,30,50,20,20,0.0,42,cos,jaccard,272.5131525993347,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,30,50,20,20,0.1,42,cos,jaccard,276.0960886478424,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,30,5,20,20,0.0,42,cos,jaccard,273.0650565624237,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,30,5,20,20,0.1,42,cos,jaccard,276.5770525932312,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,3,50,20,20,0.0,42,cos,jaccard,274.60254549980164,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,3,50,20,20,0.1,42,cos,jaccard,276.9093611240387,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,3,5,20,20,0.0,42,cos,jaccard,276.56058049201965,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
2,2,3,5,20,20,0.1,42,cos,jaccard,275.3326950073242,0.1743,984.6352,2.3695,0.5298,0.0586,0.0255,0.0384,0.0385,0.037,0.0401,0.0385,0.5578,CenterParTree2,compas-scores-two-years_y.zip
