eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,1000.0,100,0.7880833148956299,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,1000.0,20,0.7687959671020508,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,100.0,100,0.7866947650909424,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,100.0,20,0.7726824283599854,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,20.0,20,0.8056879043579102,0.0881,4.0568,0.676,0.5049,0.0001,0.0002,0.0004,0.0006,0.0003,0.0867,0.0006,0.7103,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,inf,100,0.7678289413452148,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,correlation,auto,4,inf,20,0.781712532043457,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,cosine,auto,4,1000.0,100,0.7351813316345215,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,cosine,auto,4,1000.0,20,0.8190417289733887,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7105,skl_DBSCAN,compas-scores-two-years_y.zip
0.1,10,cosine,auto,4,100.0,100,0.7345874309539795,0.0955,2.0905,0.6361,0.5048,0.0001,0.0001,0.0,0.0003,0.0002,0.0807,0.0003,0.7104,skl_DBSCAN,compas-scores-two-years_y.zip
