n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,1.058518648147583,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.9861373901367188,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,1.2823364734649658,0.4612,9410.6152,0.8287,0.529,0.0621,0.099,0.0972,0.0974,0.1439,0.0736,0.0974,0.4109,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,1.154094696044922,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,1.4243333339691162,0.4569,9362.9231,0.8673,0.5301,0.0644,0.1001,0.0983,0.0985,0.1454,0.0744,0.0985,0.4125,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,1.1750741004943848,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.0394511222839355,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,1.1556408405303955,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.1813688278198242,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,1.170318365097046,0.4612,9410.6152,0.8287,0.529,0.0621,0.099,0.0972,0.0974,0.1439,0.0736,0.0974,0.4109,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,1.2282164096832275,0.4615,9411.9507,0.8284,0.5292,0.0625,0.0993,0.0975,0.0977,0.1443,0.0739,0.0977,0.411,skl_kmeans,compas-scores-two-years_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.9362878799438475,0.4569,9362.9231,0.8673,0.5301,0.0644,0.1001,0.0983,0.0985,0.1454,0.0744,0.0985,0.4125,skl_kmeans,compas-scores-two-years_y.zip-4_k
